moderator_column,moderator_label,ontology_group,ridge_estimate,multivariate_estimate,multivariate_p_value,multivariate_q_value,multivariate_conf_low,multivariate_conf_high,univariate_estimate,univariate_conf_low,univariate_conf_high,elastic_net_estimate,rf_permutation_importance,normalized_weight_pct,ridge_mean_estimate,role
profile_cat__profile_cat_education_level_Primary_Or_Less,Education Level Primary Or Less,Demographics: Education,0.04288969465584537,,,,,,,,,0.0,,,,expanded
profile_cont_big_five_openness_to_experience_ideas_pct,Big Five Openness To Experience Ideas %,Big Five: Openness,-0.042550006475885443,,,,,,,,,0.0,,,,expanded
profile_cat__profile_cat_employment_type_Other_Inactive,Employment Type Other Inactive,Socioeconomic Status: Employment,0.03961955041345177,,,,,,,,,0.0,,,,expanded
profile_cat__profile_cat_news_diet_primary_type_Broadcast_Television_Dominant,News Diet Primary Type Broadcast Television Dominant,Demographics: News Diet,-0.036472979743838424,,,,,,,,,0.0,,,,expanded
profile_cat__profile_cat_platform_primary_type_No_Social_Media,Platform Primary Type No Social Media,Social Context: Online Behavior,-0.035724633654220704,,,,,,,,,0.0,,,,expanded
profile_cont_big_five_openness_to_experience_aesthetics_pct,Big Five Openness To Experience Aesthetics %,Big Five: Openness,-0.03545542741742052,,,,,,,,,0.0,,,,expanded
profile_cat__profile_cat_news_diet_primary_type_Legacy_Print_Dominant,News Diet Primary Type Legacy Print Dominant,Demographics: News Diet,-0.034786250398414494,,,,,,,,,0.0,,,,expanded
profile_cat__profile_cat_news_diet_primary_type_Online_Legacy_Outlet_Dominant,News Diet Primary Type Online Legacy Outlet Dominant,Demographics: News Diet,0.03443086594216094,,,,,,,,,0.0,,,,expanded
profile_cont_big_five_openness_to_experience_mean_pct,Big Five Openness To Experience Mean %,Big Five: Openness,-0.033958091935690514,,,,,,,,,0.0,,,,expanded
profile_cat__profile_cat_education_level_Secondary_Completed,Education Level Secondary Completed,Demographics: Education,-0.03312810316253646,,,,,,,,,0.0,,,,expanded
profile_cont_socioeconomic_status_economic_standing_subjective_class_position_pct,Socioeconomic Status Economic Standing Subjective Class Position %,Socioeconomic Status: Economic,0.03265314399232688,,,,,,,,,0.0,,,,expanded
profile_cont_big_five_openness_to_experience_actions_pct,Big Five Openness To Experience Actions %,Big Five: Openness,-0.0324171262357852,,,,,,,,,0.0,,,,expanded
profile_cont_chronological_age,Chronological Age,Demographics: Age,-0.03142560673752149,,,,,,,,,0.0,,,,expanded
profile_cat__profile_cat_employment_type_Unemployed_Seeking,Employment Type Unemployed Seeking,Socioeconomic Status: Employment,-0.03011730202065971,,,,,,,,,0.0,,,,expanded
profile_cat__profile_cat_employment_type_Employed_Full_Time,Employment Type Employed Full Time,Socioeconomic Status: Employment,-0.02964729299005474,,,,,,,,,0.0,,,,expanded
profile_cont_big_five_openness_to_experience_values_pct,Big Five Openness To Experience Values %,Big Five: Openness,-0.028316208953102003,,,,,,,,,0.0,,,,expanded
profile_cont_big_five_openness_to_experience_feelings_pct,Big Five Openness To Experience Feelings %,Big Five: Openness,-0.027102131266207172,,,,,,,,,0.0,,,,expanded
profile_cat__profile_cat_education_level_Bachelor_Equivalent,Education Level Bachelor Equivalent,Demographics: Education,-0.026940342827205865,,,,,,,,,0.0,,,,expanded
profile_cont_big_five_openness_to_experience_fantasy_pct,Big Five Openness To Experience Fantasy %,Big Five: Openness,-0.026569045457089137,,,,,,,,,0.0,,,,expanded
profile_cont_social_context_online_behavior_information_echo_chamber_pct,Social Context Online Behavior Information Echo Chamber %,Social Context: Online Behavior,0.025578957396739366,,,,,,,,,0.0,,,,expanded
profile_cont_social_context_online_behavior_mean_pct,Social Context Online Behavior Mean %,Social Context: Online Behavior,0.025103991285320395,,,,,,,,,0.0,,,,expanded
profile_cat__profile_cat_sex_Male,Sex Male,Demographics: Sex,-0.025010437178712472,,,,,,,,,0.0,,,,expanded
profile_cont_political_psychology_political_engagement_mean_pct,Political Psychology Political Engagement Mean %,Political Psychology: Engagement,-0.024841205233137847,,,,,,,,,0.0,,,,expanded
profile_cont_political_psychology_political_engagement_political_interest_pct,Political Psychology Political Engagement Political Interest %,Political Psychology: Engagement,-0.024625211005647747,,,,,,,,,0.0,,,,expanded
profile_cont_social_context_online_behavior_social_media_hours_daily_pct,Social Context Online Behavior Social Media Hours Daily %,Social Context: Online Behavior,0.024209941488399805,,,,,,,,,0.0,,,,expanded
profile_cont_political_psychology_political_engagement_civic_participation_pct,Political Psychology Political Engagement Civic Participation %,Political Psychology: Engagement,-0.023976730974240953,,,,,,,,,0.0,,,,expanded
profile_cont_political_psychology_political_engagement_voting_likelihood_pct,Political Psychology Political Engagement Voting Likelihood %,Political Psychology: Engagement,-0.02392284970986274,,,,,,,,,0.0,,,,expanded
