term,label,ontology_group,degree_centrality,eigenvector_centrality,betweenness_centrality,closeness_centrality,clustering_coefficient,pagerank,community,degree
profile_cat__profile_cat_platform_primary_type_Instagram_TikTok_Dominant,Platform Primary Type Instagram Tiktok Dominant,Social Context: Online Behavior,0.6555555555555556,0.1453313370211421,0.0012484394506866417,3.1309573903001127,0.13876874574945772,0.015524503089625748,0,59
profile_cont_big_five_openness_to_experience_mean_pct,Big Five Openness To Experience Mean %,Big Five: Openness,0.5222222222222223,0.13967692471720025,0.005305867665418227,3.4055479756548155,0.1763845842292328,0.013342955798705992,1,47
profile_cont_big_five_openness_to_experience_fantasy_pct,Big Five Openness To Experience Fantasy %,Big Five: Openness,0.5222222222222223,0.133928968888557,0.008489388264669164,3.358516787809489,0.1637941836863244,0.012850585483065249,1,47
profile_cont_big_five_extraversion_positive_emotions_pct,Big Five Extraversion Positive Emotions %,Big Five: Extraversion,0.4777777777777778,0.13351761017748218,0.0024968789013732834,3.074188808100546,0.1830474367848165,0.013086899027154325,2,43
profile_cont_big_five_openness_to_experience_ideas_pct,Big Five Openness To Experience Ideas %,Big Five: Openness,0.4777777777777778,0.1325087453497718,0.0034956304619225965,3.2062774665934417,0.18677619378947802,0.012704147851606739,1,43
profile_cont_political_psychology_political_engagement_civic_participation_pct,Political Psychology Political Engagement Civic Participation %,Political Psychology: Engagement,0.5111111111111112,0.1320337712341613,0.014481897627965043,3.5060946999074263,0.17193491532368915,0.013133485730952904,3,46
profile_cont_big_five_neuroticism_impulsiveness_pct,Big Five Neuroticism Impulsiveness %,Big Five: Neuroticism,0.5777777777777778,0.12960505214268234,0.020786516853932582,3.6297561250050308,0.1463547752401455,0.01350280776709812,0,52
profile_cont_big_five_openness_to_experience_actions_pct,Big Five Openness To Experience Actions %,Big Five: Openness,0.48888888888888893,0.12805746009844943,0.007053682896379526,3.3694442715599986,0.1730465527889403,0.01239220601135733,1,44
profile_cont_socioeconomic_status_economic_standing_upward_mobility_belief_pct,Socioeconomic Status Economic Standing Upward Mobility Belief %,Socioeconomic Status: Economic,0.4222222222222222,0.12744659244897882,0.0024968789013732834,3.123271337048365,0.20546440418375092,0.012032834913691429,3,38
profile_cont_big_five_openness_to_experience_feelings_pct,Big Five Openness To Experience Feelings %,Big Five: Openness,0.4444444444444445,0.12728848088031908,0.0019975031210986267,3.1129697950438353,0.1897357931428188,0.012409558860610247,1,40
profile_cont_political_psychology_institutional_trust_government_trust_pct,Political Psychology Institutional Trust Government Trust %,Political Psychology: Institutional Trust,0.5666666666666667,0.12554235574111658,0.025967540574282147,3.669496321531659,0.14455831381087114,0.01236387148623407,0,51
profile_cont_big_five_openness_to_experience_aesthetics_pct,Big Five Openness To Experience Aesthetics %,Big Five: Openness,0.4666666666666667,0.12485113566409034,0.0014981273408239699,3.1297879656509444,0.17705151374194053,0.012617395122032032,1,42
profile_cont_socioeconomic_status_economic_standing_subjective_class_position_pct,Socioeconomic Status Economic Standing Subjective Class Position %,Socioeconomic Status: Economic,0.41111111111111115,0.12401210116985248,0.0032459425717852684,3.2086226612077544,0.2121583785809644,0.011848867049503603,3,37
profile_cont_big_five_extraversion_assertiveness_pct,Big Five Extraversion Assertiveness %,Big Five: Extraversion,0.45555555555555555,0.1238037386876574,0.0027465667915106116,3.237920403766354,0.19067610545135377,0.012022690427117972,2,41
profile_cont_political_psychology_institutional_trust_conspiracy_belief_propensity_pct,Political Psychology Institutional Trust Conspiracy Belief Propensity %,Political Psychology: Institutional Trust,0.5222222222222223,0.12369914160866315,0.004993757802746567,3.3207822761322676,0.1567703870594649,0.012352321824517199,0,47
profile_cont_big_five_extraversion_activity_level_pct,Big Five Extraversion Activity Level %,Big Five: Extraversion,0.45555555555555555,0.12362724558470278,0.00449438202247191,3.270238062787026,0.17561477948449303,0.012047502769220586,2,41
profile_cont_big_five_openness_to_experience_values_pct,Big Five Openness To Experience Values %,Big Five: Openness,0.4444444444444445,0.1234286747394726,0.006741573033707865,3.2086869916995515,0.18444195373921646,0.01213446459453551,1,40
profile_cat__profile_cat_education_level_Doctoral_Equivalent,Education Level Doctoral Equivalent,Demographics: Education,0.6444444444444445,0.12288940316885245,0.012734082397003745,3.554250278246419,0.12940351668068348,0.013667954015995337,4,58
profile_cont_big_five_extraversion_mean_pct,Big Five Extraversion Mean %,Big Five: Extraversion,0.45555555555555555,0.12203482428768447,0.006242197253433208,3.3253018797990768,0.18558304416137064,0.01202638328692546,2,41
profile_cont_political_psychology_institutional_trust_mean_pct,Political Psychology Institutional Trust Mean %,Political Psychology: Institutional Trust,0.48888888888888893,0.1219034330002927,0.0024968789013732834,3.3490601057820704,0.17178940036882623,0.011928538565002957,0,44
profile_cont_big_five_extraversion_warmth_pct,Big Five Extraversion Warmth %,Big Five: Extraversion,0.48888888888888893,0.12158561941725093,0.00898876404494382,3.4442266657595058,0.16846842224909314,0.012111891733532458,2,44
profile_cont_socioeconomic_status_economic_standing_mean_pct,Socioeconomic Status Economic Standing Mean %,Socioeconomic Status: Economic,0.4,0.12116097288798404,0.005742821473158552,3.215800628149005,0.21679609539763436,0.01147994942193062,3,36
profile_cat__profile_cat_employment_type_Unemployed_Seeking,Employment Type Unemployed Seeking,Socioeconomic Status: Employment,0.5777777777777778,0.12113367914728074,0.0027465667915106116,3.2245777002842573,0.1390400555974197,0.012854939474332167,3,52
profile_cont_socioeconomic_status_economic_standing_financial_security_pct,Socioeconomic Status Economic Standing Financial Security %,Socioeconomic Status: Economic,0.4222222222222222,0.12033610568859905,0.003745318352059925,3.1757182622071913,0.1924965289109629,0.01169598381993484,3,38
profile_cont_big_five_extraversion_gregariousness_pct,Big Five Extraversion Gregariousness %,Big Five: Extraversion,0.4777777777777778,0.12006338824011623,0.003995006242197253,3.3657581311456006,0.1578092908937062,0.01207388327024685,2,43
profile_cont_political_psychology_political_engagement_mean_pct,Political Psychology Political Engagement Mean %,Political Psychology: Engagement,0.3888888888888889,0.11939641938855107,0.0014981273408239699,3.116712544874383,0.22054782354362984,0.011723660102916178,3,35
profile_cont_political_psychology_political_engagement_political_interest_pct,Political Psychology Political Engagement Political Interest %,Political Psychology: Engagement,0.37777777777777777,0.11902251920138233,0.0012484394506866417,2.9943099301871756,0.22078906831776415,0.011655138919864833,3,34
profile_cont_political_psychology_institutional_trust_satisfaction_with_democracy_pct,Political Psychology Institutional Trust Satisfaction With Democracy %,Political Psychology: Institutional Trust,0.48888888888888893,0.11878580321620649,0.020474406991260925,3.4719043708954462,0.16420667967985303,0.011593883079527377,0,44
profile_cont_political_psychology_institutional_trust_scientific_consensus_trust_pct,Political Psychology Institutional Trust Scientific Consensus Trust %,Political Psychology: Institutional Trust,0.45555555555555555,0.11697311284016917,0.00749063670411985,3.3171861753406033,0.1766359631207845,0.011676867070011046,0,41
profile_cat__profile_cat_platform_primary_type_No_Social_Media,Platform Primary Type No Social Media,Social Context: Online Behavior,0.5444444444444445,0.11695485230010699,0.00898876404494382,3.3009400283478003,0.13734833826339457,0.012666588731512203,1,49
profile_cont_political_psychology_political_engagement_voting_likelihood_pct,Political Psychology Political Engagement Voting Likelihood %,Political Psychology: Engagement,0.4,0.11672922893612231,0.0034956304619225965,3.1750183231994282,0.2000217225810569,0.01155501016980089,3,36
profile_cont_socioeconomic_status_economic_standing_economic_anxiety_pct,Socioeconomic Status Economic Standing Economic Anxiety %,Socioeconomic Status: Economic,0.37777777777777777,0.11620750785675006,0.0034956304619225965,3.1475967019695585,0.21865922770390317,0.011100572242875209,3,34
profile_cat__profile_cat_news_diet_primary_type_Broadcast_Television_Dominant,News Diet Primary Type Broadcast Television Dominant,Demographics: News Diet,0.5555555555555556,0.11609738137693648,0.004036620890553475,3.3074976649496746,0.1348867051965836,0.012239468248687524,2,50
profile_cont_political_psychology_institutional_trust_mainstream_media_trust_pct,Political Psychology Institutional Trust Mainstream Media Trust %,Political Psychology: Institutional Trust,0.4444444444444445,0.11512649365028824,0.011235955056179775,3.2243813628010467,0.17358465689121141,0.011219161921281908,0,40
profile_cont_big_five_extraversion_excitement_seeking_pct,Big Five Extraversion Excitement Seeking %,Big Five: Extraversion,0.4,0.11491539273964747,0.006491885143570537,3.131083023067934,0.204386617547285,0.01154313411354529,2,36
profile_cont_big_five_agreeableness_modesty_pct,Big Five Agreeableness Modesty %,Big Five: Agreeableness,0.4777777777777778,0.11486828274577245,0.0029962546816479398,3.258507476747319,0.1700171999211581,0.013005921576533276,4,43
profile_cat__profile_cat_platform_primary_type_Facebook_Dominant,Platform Primary Type Facebook Dominant,Social Context: Online Behavior,0.6444444444444445,0.1135542914576194,0.024302954640033292,3.7670077975703338,0.1164906480835201,0.012544433585247192,1,58
profile_cont_social_context_online_behavior_social_media_hours_daily_pct,Social Context Online Behavior Social Media Hours Daily %,Social Context: Online Behavior,0.5111111111111112,0.11350222152445123,0.0027465667915106116,3.212326269962281,0.1502041782133861,0.012371489644755812,2,46
profile_cont_socioeconomic_status_economic_standing_household_income_quintile_pct,Socioeconomic Status Economic Standing Household Income Quintile %,Socioeconomic Status: Economic,0.3666666666666667,0.11344986802780244,0.0014981273408239699,3.049371021149427,0.21994782759122763,0.010917660775090746,3,33
profile_cat__profile_cat_education_level_Post_Secondary_Non_Tertiary,Education Level Post Secondary Non Tertiary,Demographics: Education,0.4777777777777778,0.11076785046082452,0.0026217228464419473,3.092100968513239,0.14346171876911273,0.011368999605352316,3,43
profile_cont_big_five_neuroticism_mean_pct,Big Five Neuroticism Mean %,Big Five: Neuroticism,0.48888888888888893,0.1105175101275809,0.012359550561797753,3.5826022993705475,0.15743501872318957,0.012020759597640875,0,44
profile_cont_big_five_neuroticism_anger_hostility_pct,Big Five Neuroticism Anger Hostility %,Big Five: Neuroticism,0.4444444444444445,0.10999857137356885,0.004244694132334582,3.217701232162777,0.17209741565554285,0.011876567714828262,0,40
profile_cont_big_five_neuroticism_stress_vulnerability_pct,Big Five Neuroticism Stress Vulnerability %,Big Five: Neuroticism,0.4666666666666667,0.1079759780123976,0.012234706616729088,3.472969200109505,0.16151637203575125,0.011739945882385385,0,42
profile_cont_big_five_conscientiousness_dutifulness_pct,Big Five Conscientiousness Dutifulness %,Big Five: Conscientiousness,0.5222222222222223,0.10758074273596939,0.010112359550561797,3.464821617479567,0.13965817965175503,0.012231475770385513,2,47
profile_cont_big_five_neuroticism_self_consciousness_pct,Big Five Neuroticism Self Consciousness %,Big Five: Neuroticism,0.45555555555555555,0.10719682236809362,0.011735330836454432,3.4304670912264785,0.16012666693101732,0.011465803523206055,0,41
profile_cat__profile_cat_sex_Other,Sex Other,Demographics: Sex,0.5222222222222223,0.1069259060463559,0.00449438202247191,3.341252511874468,0.13232810653010937,0.011572814231556563,4,47
profile_cont_big_five_neuroticism_anxiety_pct,Big Five Neuroticism Anxiety %,Big Five: Neuroticism,0.4222222222222222,0.1065814781371078,0.0,3.0198750948590924,0.181452868146141,0.011591271268504143,0,38
profile_cat__profile_cat_education_level_Master_Equivalent,Education Level Master Equivalent,Demographics: Education,0.48888888888888893,0.10564287506994274,0.0019975031210986267,3.1948603707156646,0.1468627122809548,0.010381678935742475,2,44
profile_cont_big_five_conscientiousness_competence_pct,Big Five Conscientiousness Competence %,Big Five: Conscientiousness,0.4666666666666667,0.10456748354976758,0.00811485642946317,3.3218595970356515,0.15886268798171316,0.011881932920552054,2,42
profile_cont_social_context_online_behavior_information_echo_chamber_pct,Social Context Online Behavior Information Echo Chamber %,Social Context: Online Behavior,0.4666666666666667,0.10453293602537647,0.011235955056179775,3.2996858935042694,0.14211355276944973,0.011723369957214435,3,42
profile_cat__profile_cat_news_diet_primary_type_Messaging_App_And_Forwarded_Content_Dominant,News Diet Primary Type Messaging App And Forwarded Content Dominant,Demographics: News Diet,0.5222222222222223,0.1022248868044718,0.010736579275905118,3.3499325259300514,0.13317932876239463,0.010266801544597352,1,47
profile_cont_big_five_agreeableness_tender_mindedness_pct,Big Five Agreeableness Tender Mindedness %,Big Five: Agreeableness,0.3888888888888889,0.10191802016738113,0.0024968789013732834,3.063379266750501,0.2062294721292047,0.011677533541544655,4,35
profile_cont_social_context_online_behavior_online_political_discussion_pct,Social Context Online Behavior Online Political Discussion %,Social Context: Online Behavior,0.43333333333333335,0.10175157266399158,0.005493133583021223,3.3036743548601306,0.1630771726781079,0.010971582378038316,3,39
profile_cont_political_psychology_ideological_positioning_partisan_identity_strength_pct,Political Psychology Ideological Positioning Partisan Identity Strength %,Political Psychology: Ideology,0.43333333333333335,0.10134211545938625,0.002372034956304619,3.255352764141245,0.17013678180075675,0.011230061997819625,1,39
profile_cat__profile_cat_education_level_Primary_Or_Less,Education Level Primary Or Less,Demographics: Education,0.5555555555555556,0.09893042711574544,0.011860174781523096,3.5572797310746815,0.1210872349086342,0.011618182158063511,4,50
profile_cont_social_context_online_behavior_mean_pct,Social Context Online Behavior Mean %,Social Context: Online Behavior,0.4,0.0988346870025528,0.00749063670411985,3.2280066848943783,0.17573967915733407,0.010738560142771863,3,36
profile_cont_big_five_conscientiousness_self_discipline_pct,Big Five Conscientiousness Self Discipline %,Big Five: Conscientiousness,0.41111111111111115,0.09791886007416581,0.013982521847690386,3.3873075528169756,0.1665740518311818,0.010628255141691228,2,37
profile_cont_big_five_agreeableness_straightforwardness_pct,Big Five Agreeableness Straightforwardness %,Big Five: Agreeableness,0.4,0.0972571475177451,0.007740324594257178,3.251988929410371,0.18362982209183798,0.01122395445610125,4,36
profile_cat__profile_cat_sex_Female,Sex Female,Demographics: Sex,0.5,0.09704039745166072,0.00449438202247191,3.2634120474742714,0.13079403303836168,0.010557342449269922,4,45
profile_cont_big_five_conscientiousness_deliberation_pct,Big Five Conscientiousness Deliberation %,Big Five: Conscientiousness,0.41111111111111115,0.09538496921388534,0.011860174781523096,3.3828579011988245,0.16447605241357446,0.01078670368855092,2,37
profile_cont_big_five_neuroticism_depression_pct,Big Five Neuroticism Depression %,Big Five: Neuroticism,0.3888888888888889,0.0951718465638447,0.007116104868913857,3.281313080850892,0.1685699639229609,0.010489626223748376,0,35
profile_cat__profile_cat_education_level_Secondary_Completed,Education Level Secondary Completed,Demographics: Education,0.5111111111111112,0.09359726477949012,0.008863920099875156,3.479550501553254,0.1297904886652396,0.009798743290487145,1,46
profile_cont_political_psychology_ideological_positioning_ideological_extremity_pct,Political Psychology Ideological Positioning Ideological Extremity %,Political Psychology: Ideology,0.37777777777777777,0.09200667635802355,0.002247191011235955,3.100389709383873,0.18084757708993568,0.010285468976391085,1,34
profile_cont_big_five_agreeableness_altruism_pct,Big Five Agreeableness Altruism %,Big Five: Agreeableness,0.33333333333333337,0.0919967055396183,0.002372034956304619,3.1307093024776544,0.23153147956896672,0.010639716950406265,4,30
profile_cont_political_psychology_ideological_positioning_mean_pct,Political Psychology Ideological Positioning Mean %,Political Psychology: Ideology,0.4,0.09126191095758833,0.003620474406991261,3.242901378694171,0.16975642162032575,0.010265226486771823,1,36
profile_cont_political_psychology_ideological_positioning_political_orientation_lr_pct,Political Psychology Ideological Positioning Political Orientation Lr %,Political Psychology: Ideology,0.4,0.08932506710812657,0.005867665418227216,3.283237812696505,0.1625536919182266,0.010015149389138762,1,36
profile_cont_big_five_conscientiousness_order_pct,Big Five Conscientiousness Order %,Big Five: Conscientiousness,0.37777777777777777,0.08801213820132207,0.010986267166042446,3.318123803994978,0.1679676739475808,0.0099990997174849,2,34
profile_cont_big_five_agreeableness_trust_pct,Big Five Agreeableness Trust %,Big Five: Agreeableness,0.32222222222222224,0.08729209879013376,0.003745318352059925,2.9624554447885494,0.23019569380086685,0.010431147559053713,4,29
profile_cont_big_five_conscientiousness_achievement_striving_pct,Big Five Conscientiousness Achievement Striving %,Big Five: Conscientiousness,0.37777777777777777,0.08694478505221657,0.009363295880149813,3.327140682585726,0.175797430703146,0.010204921956757719,2,34
profile_cont_big_five_agreeableness_mean_pct,Big Five Agreeableness Mean %,Big Five: Agreeableness,0.2888888888888889,0.08595007638588732,0.0014981273408239699,2.9882056539792794,0.2714007373451042,0.010263387211960205,4,26
profile_cont_big_five_agreeableness_compliance_pct,Big Five Agreeableness Compliance %,Big Five: Agreeableness,0.3,0.08461609438720469,0.0024968789013732834,2.980405113766543,0.2499794661649785,0.010159891140364903,4,27
profile_cont_big_five_conscientiousness_mean_pct,Big Five Conscientiousness Mean %,Big Five: Conscientiousness,0.3111111111111111,0.08437125561863969,0.003620474406991261,2.968246942881555,0.228514712639697,0.009624935159639957,2,28
profile_cat__profile_cat_sex_Male,Sex Male,Demographics: Sex,0.45555555555555555,0.08346150449157687,0.009113607990012484,3.277907201521507,0.12163286036672735,0.009948911634367119,1,41
profile_cat__profile_cat_employment_type_Employed_Part_Time,Employment Type Employed Part Time,Socioeconomic Status: Employment,0.5,0.08290093036738416,0.020432792342904703,3.5961898119681,0.114547039687924,0.009577918382678716,4,45
profile_cont_social_context_social_capital_interpersonal_trust_pct,Social Context Social Capital Interpersonal Trust %,Social Context: Social Capital,0.4666666666666667,0.07893502096296852,0.026279650436953808,3.6129365336166672,0.13236467406923677,0.010391000156770594,0,42
profile_cat__profile_cat_platform_primary_type_Twitter_X_Dominant,Platform Primary Type Twitter X Dominant,Social Context: Online Behavior,0.45555555555555555,0.07886320541230206,0.01581356637536413,3.5043904250068985,0.12006962376890457,0.009097728012255142,0,41
profile_cat__profile_cat_employment_type_Employed_Full_Time,Employment Type Employed Full Time,Socioeconomic Status: Employment,0.4666666666666667,0.07604055825774522,0.01527257594673325,3.5392478057746426,0.13475551315057044,0.009757127704640097,0,42
profile_cat__profile_cat_education_level_Bachelor_Equivalent,Education Level Bachelor Equivalent,Demographics: Education,0.4222222222222222,0.07549463249256357,0.007740324594257178,3.272717654247387,0.1318571961881304,0.008794803895045644,4,38
profile_cont_chronological_age,Chronological Age,Demographics: Age,0.4444444444444445,0.07514805236702359,0.005243445692883895,3.3215357560676186,0.12376473976436092,0.009055689143608225,1,40
profile_cat__profile_cat_news_diet_primary_type_Broadcast_Radio_Dominant,News Diet Primary Type Broadcast Radio Dominant,Demographics: News Diet,0.4222222222222222,0.07016579838083206,0.00869746150645027,3.381241670657487,0.11907583087517723,0.008703926651445211,1,38
profile_cont_social_context_social_capital_social_network_diversity_pct,Social Context Social Capital Social Network Diversity %,Social Context: Social Capital,0.3666666666666667,0.06977950982174948,0.009488139825218476,3.3784979495295526,0.14843087067168295,0.00929292899653241,0,33
profile_cat__profile_cat_employment_type_Student,Employment Type Student,Socioeconomic Status: Employment,0.45555555555555555,0.06934073422301722,0.012193091968372866,3.523141727784575,0.1158367066514434,0.008595153727030177,4,41
profile_cat__profile_cat_news_diet_primary_type_Legacy_Print_Dominant,News Diet Primary Type Legacy Print Dominant,Demographics: News Diet,0.4,0.06920660198571806,0.00961298377028714,3.289045976285732,0.11682186576625948,0.008539129480525735,0,36
profile_cat__profile_cat_news_diet_primary_type_Social_Media_Feed_Dominant,News Diet Primary Type Social Media Feed Dominant,Demographics: News Diet,0.37777777777777777,0.06919834168990775,0.004993757802746567,3.258525838771019,0.1364065723725851,0.008115492125059886,1,34
profile_cont_social_context_social_capital_community_belonging_pct,Social Context Social Capital Community Belonging %,Social Context: Social Capital,0.34444444444444444,0.0644176093184917,0.013358302122347065,3.4441379960247716,0.15805817008342138,0.008901314090018979,0,31
profile_cont_social_context_social_capital_mean_pct,Social Context Social Capital Mean %,Social Context: Social Capital,0.32222222222222224,0.06256318760557826,0.009238451935081148,3.3087575205818442,0.17247315045709147,0.008753564570709126,0,29
profile_cont_social_context_social_capital_social_isolation_pct,Social Context Social Capital Social Isolation %,Social Context: Social Capital,0.3,0.057440235051144,0.005742821473158552,3.208835904413682,0.1581663546383225,0.008507126450603199,0,27
profile_cat__profile_cat_employment_type_Retired,Employment Type Retired,Socioeconomic Status: Employment,0.26666666666666666,0.05151478148763862,0.0012484394506866417,2.9305340725428644,0.1583538263410035,0.006773487150034307,3,24
profile_cat__profile_cat_employment_type_Other_Inactive,Employment Type Other Inactive,Socioeconomic Status: Employment,0.32222222222222224,0.050966314215150556,0.004993757802746567,3.171341703651786,0.12206103698476545,0.00666282497519307,3,29
profile_cat__profile_cat_news_diet_primary_type_Online_Legacy_Outlet_Dominant,News Diet Primary Type Online Legacy Outlet Dominant,Demographics: News Diet,0.34444444444444444,0.04905686703977094,0.010237203495630462,3.3312013272932375,0.11498282340347168,0.006977605722707492,4,31
profile_cat__profile_cat_platform_primary_type_YouTube_Dominant,Platform Primary Type Youtube Dominant,Social Context: Online Behavior,0.14444444444444446,0.02106218487894133,0.0012484394506866417,2.880432544758925,0.09955807266321656,0.0038037445861744948,4,13
