term,label,ontology_group,permutation_importance_mean,permutation_importance_std,mdi_importance
profile_cont_big_five_openness_to_experience_ideas_pct,Big Five Openness To Experience Ideas %,Big Five: Openness,0.03653339419182155,0.012842654219131734,0.044094579575109254
profile_cont_big_five_extraversion_gregariousness_pct,Big Five Extraversion Gregariousness %,Big Five: Extraversion,0.027933103428024644,0.00889236481223268,0.036801888603249455
profile_cont_big_five_conscientiousness_achievement_striving_pct,Big Five Conscientiousness Achievement Striving %,Big Five: Conscientiousness,0.023951954556808472,0.009781030539466254,0.03319565100098913
profile_cont_political_psychology_ideological_positioning_mean_pct,Political Psychology Ideological Positioning Mean %,Political Psychology: Ideology,0.022018993924402767,0.0061003861845313504,0.03299012727682103
profile_cont_big_five_conscientiousness_order_pct,Big Five Conscientiousness Order %,Big Five: Conscientiousness,0.019892839582827313,0.008385842196793053,0.026913353125947746
profile_cont_big_five_neuroticism_stress_vulnerability_pct,Big Five Neuroticism Stress Vulnerability %,Big Five: Neuroticism,0.016518142843549084,0.007040771415469172,0.025226418892691917
profile_cont_big_five_neuroticism_anger_hostility_pct,Big Five Neuroticism Anger Hostility %,Big Five: Neuroticism,0.01598149048869642,0.005105667957134158,0.018567321882252793
profile_cont_big_five_openness_to_experience_aesthetics_pct,Big Five Openness To Experience Aesthetics %,Big Five: Openness,0.014734695875733743,0.005160726262479113,0.022038647249700144
profile_cont_big_five_openness_to_experience_mean_pct,Big Five Openness To Experience Mean %,Big Five: Openness,0.014627080744041548,0.005234223258532892,0.02445958111566226
profile_cont_big_five_agreeableness_trust_pct,Big Five Agreeableness Trust %,Big Five: Agreeableness,0.01407246942337399,0.005636704525760366,0.01930947193870037
profile_cat__profile_cat_education_level_Primary_Or_Less,Education Level Primary Or Less,Demographics: Education,0.014027521035223029,0.006793855933324457,0.01745124864232178
profile_cont_big_five_extraversion_mean_pct,Big Five Extraversion Mean %,Big Five: Extraversion,0.012695328130527457,0.004026749779358866,0.02195575967923538
profile_cont_big_five_openness_to_experience_actions_pct,Big Five Openness To Experience Actions %,Big Five: Openness,0.012266296502361036,0.005640333712343422,0.01986388969498935
profile_cont_socioeconomic_status_economic_standing_household_income_quintile_pct,Socioeconomic Status Economic Standing Household Income Quintile %,Socioeconomic Status: Economic,0.012170259274554143,0.0038809545712651613,0.021216789679775434
profile_cont_big_five_openness_to_experience_fantasy_pct,Big Five Openness To Experience Fantasy %,Big Five: Openness,0.011259338856676331,0.005093719207631863,0.025556190566876358
profile_cont_political_psychology_ideological_positioning_partisan_identity_strength_pct,Political Psychology Ideological Positioning Partisan Identity Strength %,Political Psychology: Ideology,0.011177892642882912,0.002719326473110369,0.01744418909344339
profile_cont_big_five_extraversion_excitement_seeking_pct,Big Five Extraversion Excitement Seeking %,Big Five: Extraversion,0.010444921614660542,0.003586658191698923,0.016636496100757722
profile_cont_big_five_neuroticism_anxiety_pct,Big Five Neuroticism Anxiety %,Big Five: Neuroticism,0.010110123673130557,0.0027202803780853034,0.019247428699181446
profile_cont_political_psychology_political_engagement_mean_pct,Political Psychology Political Engagement Mean %,Political Psychology: Engagement,0.009786078998539935,0.004295211574720723,0.02079034145299812
profile_cont_big_five_conscientiousness_mean_pct,Big Five Conscientiousness Mean %,Big Five: Conscientiousness,0.009771861572243296,0.004147353385919537,0.016983550084113078
profile_cont_political_psychology_political_engagement_political_interest_pct,Political Psychology Political Engagement Political Interest %,Political Psychology: Engagement,0.009758253688190206,0.004123064663724459,0.01565703828760581
profile_cont_big_five_neuroticism_mean_pct,Big Five Neuroticism Mean %,Big Five: Neuroticism,0.009748652690655944,0.00462262953718874,0.016276552995826806
profile_cat__profile_cat_platform_primary_type_No_Social_Media,Platform Primary Type No Social Media,Social Context: Online Behavior,0.009747655007275924,0.0041843833282880745,0.013287008971860761
profile_cont_political_psychology_ideological_positioning_ideological_extremity_pct,Political Psychology Ideological Positioning Ideological Extremity %,Political Psychology: Ideology,0.009497808023991916,0.0028955429982422363,0.01355616821352006
profile_cont_big_five_openness_to_experience_feelings_pct,Big Five Openness To Experience Feelings %,Big Five: Openness,0.009461131703833212,0.0034502847937158136,0.01769523214573301
profile_cont_big_five_openness_to_experience_values_pct,Big Five Openness To Experience Values %,Big Five: Openness,0.008870615233887989,0.003531363297833142,0.017580582594141976
profile_cont_political_psychology_institutional_trust_mean_pct,Political Psychology Institutional Trust Mean %,Political Psychology: Institutional Trust,0.008694156078264523,0.0031013203560614953,0.01816145058115638
