2026-03-22 22:46:21 | WARNING | __main__ | Post-attack assessment failed for scenario_0001, fallback used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:21 | WARNING | __main__ | Post-attack assessment failed for scenario_0002, fallback used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:21 | WARNING | __main__ | Post-attack assessment failed for scenario_0003, fallback used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:21 | WARNING | __main__ | Post-attack assessment failed for scenario_0004, fallback used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:21 | WARNING | __main__ | Post-attack assessment failed for scenario_0005, fallback used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:21 | WARNING | __main__ | Post-attack assessment failed for scenario_0006, fallback used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:21 | WARNING | __main__ | Post-attack assessment failed for scenario_0007, fallback used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:21 | WARNING | __main__ | Post-attack assessment failed for scenario_0008, fallback used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:21 | WARNING | __main__ | Post-attack assessment failed for scenario_0009, fallback used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:21 | WARNING | __main__ | Post-attack assessment failed for scenario_0010, fallback used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:21 | WARNING | __main__ | Post-attack assessment failed for scenario_0011, fallback used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:21 | WARNING | __main__ | Post-attack assessment failed for scenario_0012, fallback used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:21 | WARNING | __main__ | Post-attack assessment failed for scenario_0013, fallback used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:21 | WARNING | __main__ | Post-attack assessment failed for scenario_0014, fallback used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:21 | WARNING | __main__ | Post-attack assessment failed for scenario_0015, fallback used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:21 | WARNING | __main__ | Post-attack assessment failed for scenario_0016, fallback used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:21 | WARNING | __main__ | Post-attack assessment failed for scenario_0017, fallback used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:21 | WARNING | __main__ | Post-attack assessment failed for scenario_0018, fallback used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:21 | WARNING | __main__ | Post-attack assessment failed for scenario_0019, fallback used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:21 | WARNING | __main__ | Post-attack assessment failed for scenario_0020, fallback used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 22:46:21 | INFO | __main__ | Stage 04 completed: 20 records
2026-03-22 22:51:41 | INFO | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-22 22:51:42 | INFO | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-22 22:51:46 | INFO | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-22 22:51:49 | INFO | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-22 22:51:51 | INFO | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-22 22:51:52 | INFO | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-22 22:51:54 | INFO | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-22 22:51:56 | INFO | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-22 22:51:59 | INFO | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-22 22:52:00 | INFO | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
