2026-03-22 23:04:26 | INFO | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-22 23:04:28 | INFO | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-22 23:04:29 | INFO | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-22 23:04:31 | INFO | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-22 23:04:32 | INFO | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-22 23:04:35 | INFO | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-22 23:04:35 | INFO | __main__ | Stage 03 completed: 3 records
2026-03-22 23:52:49 | WARNING | __main__ | Attack generation failed for scenario_0001, fallback template used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 23:52:49 | WARNING | __main__ | Attack realism reviewer failed for scenario_0001: [Errno 8] nodename nor servname provided, or not known
2026-03-22 23:52:49 | WARNING | __main__ | Attack rewrite failed for scenario_0001: [Errno 8] nodename nor servname provided, or not known
2026-03-22 23:52:49 | WARNING | __main__ | Attack generation failed for scenario_0002, fallback template used: [Errno 8] nodename nor servname provided, or not known
2026-03-22 23:52:49 | WARNING | __main__ | Attack realism reviewer failed for scenario_0002: [Errno 8] nodename nor servname provided, or not known
2026-03-22 23:52:49 | WARNING | __main__ | Attack rewrite failed for scenario_0002: [Errno 8] nodename nor servname provided, or not known
2026-03-22 23:52:49 | INFO | __main__ | Stage 03 completed: 3 records
