moderator_column,moderator_label,role,interaction_estimate,interaction_std_error,interaction_p_value,interaction_conf_low,interaction_conf_high,moderator_main_estimate,moderator_main_p_value
profile_cont_big_five_openness_to_experience_ideas_pct,Big Five Openness To Experience Ideas %,exploratory,30.93557595105419,13.57339016014868,0.0226590968280696,4.33222008905242,57.53893181305596,9.295278993804567,0.0636397778025848
profile_cont_big_five_openness_to_experience_actions_pct,Big Five Openness To Experience Actions %,exploratory,-9.310846851962877,5.234047440330634,0.0752561624983935,-19.569391328384977,0.9476976244592236,38.0922084964383,0.3169291603315486
profile_cont_big_five_neuroticism_impulsiveness_pct,Big Five Neuroticism Impulsiveness %,exploratory,64.03484680855827,43.40058313229861,0.1400949663539743,-21.02873303878357,149.0984266559001,-37.35383883359998,0.4055493238343911
profile_cont_age_years,Age Years,exploratory,-51.78109795806607,36.02931935381677,0.1506630637834111,-122.39726627903886,18.83507036290672,40.617153305422974,0.3120001050396425
profile_cont_big_five_agreeableness_mean_pct,Big Five Agreeableness Mean %,exploratory,74.81778008471933,56.18011402478818,0.1829428607593868,-35.29322005121908,184.92878022065776,-28.67983875309415,0.4233498001023072
profile_cont_big_five_extraversion_excitement_seeking_pct,Big Five Extraversion Excitement Seeking %,exploratory,50.79695295701694,38.932423921766386,0.1919791022579638,-25.509195760490822,127.10310167452472,0.8022395833644391,0.9592260237478948
profile_cont_big_five_openness_to_experience_mean_pct,Big Five Openness To Experience Mean %,exploratory,-18.34340526186366,14.071649498250396,0.19237962579371,-45.92333148150555,9.23652095777824,39.936122803343665,0.4996323585118654
profile_cont_big_five_neuroticism_stress_vulnerability_pct,Big Five Neuroticism Stress Vulnerability %,exploratory,60.75992847022953,47.61533517468469,0.2019350237054271,-32.56441358395566,154.08427052441473,-4.536640899652355,0.8505580760103545
profile_cont_big_five_agreeableness_tender_mindedness_pct,Big Five Agreeableness Tender Mindedness %,exploratory,66.53630652044528,52.27300673276585,0.2030671336402734,-35.91690403939555,168.9895170802861,-8.66668023309889,0.7562085836564139
profile_cont_big_five_agreeableness_modesty_pct,Big Five Agreeableness Modesty %,exploratory,74.77182407062166,60.21258330645231,0.2143113549254411,-43.242670626142555,192.78631876738584,-18.613894330775597,0.651738128771626
profile_cont_big_five_agreeableness_compliance_pct,Big Five Agreeableness Compliance %,exploratory,57.22867169823609,46.08739508074234,0.214331627789272,-33.100962801287345,147.55830619775952,-2.4458552352979046,0.8907714034221711
profile_cont_big_five_extraversion_warmth_pct,Big Five Extraversion Warmth %,exploratory,36.11489187566284,29.13806118793623,0.2151824266650276,-20.994658632016552,93.22444238334224,6.417036619319547,0.5781613397563299
profile_cont_big_five_openness_to_experience_fantasy_pct,Big Five Openness To Experience Fantasy %,exploratory,-19.358833127845724,16.818037822453803,0.2497011314516913,-52.32158155048761,13.603915294796163,40.10104732579617,0.6566645804910813
profile_cont_big_five_neuroticism_anger_hostility_pct,Big Five Neuroticism Anger Hostility %,exploratory,67.20292806730374,63.49055889273565,0.289840674003555,-57.23628072077739,191.64213685538488,-9.223451543936417,0.7442227659504593
profile_cont_big_five_neuroticism_self_consciousness_pct,Big Five Neuroticism Self Consciousness %,exploratory,49.95760346468357,48.572392170193304,0.3037059976537742,-45.24253583185062,145.15774276121778,1.1831943385802337,0.959327848907842
profile_cont_big_five_openness_to_experience_feelings_pct,Big Five Openness To Experience Feelings %,exploratory,-16.093636676491634,15.905072764940702,0.3116071091723179,-47.26700646726431,15.079733114281035,-3.7351801017545623,0.9266677151146682
profile_cont_big_five_neuroticism_mean_pct,Big Five Neuroticism Mean %,exploratory,67.28406259198836,70.5699651305854,0.3403683666301255,-71.03052745420648,205.5986526381832,-9.2927021387698,0.834842616997924
profile_cont_big_five_agreeableness_altruism_pct,Big Five Agreeableness Altruism %,exploratory,-29.493835287364902,31.131433253058074,0.3434363749759457,-90.51032325047134,31.52265267574153,-16.540076851154495,0.6510115991375215
profile_cont_big_five_openness_to_experience_values_pct,Big Five Openness To Experience Values %,exploratory,-48.96550541246613,52.285647532847506,0.3490158470415883,-151.44349148520277,53.51248066027051,41.00063335545955,0.8757518608300394
profile_cont_big_five_conscientiousness_self_discipline_pct,Big Five Conscientiousness Self Discipline %,exploratory,-8.299692093163621,8.981437756354374,0.3554374145372752,-25.902986625006424,9.303602438679182,-10.152905338837067,0.2679771645411167
profile_cont_big_five_openness_to_experience_aesthetics_pct,Big Five Openness To Experience Aesthetics %,exploratory,-67.19889440498281,73.73326889400039,0.3620961321683834,-211.71344589963104,77.31565708966542,35.851841157452085,0.8031936641463919
profile_cont_big_five_conscientiousness_dutifulness_pct,Big Five Conscientiousness Dutifulness %,exploratory,-8.782526334904672,13.002926147025535,0.4994045682315856,-34.26779327670889,16.702740606899553,-12.198189017387737,0.0051065849266235
profile_cont_big_five_conscientiousness_mean_pct,Big Five Conscientiousness Mean %,exploratory,-9.417160770854643,14.335489651591647,0.5112372509254963,-37.514204188720925,18.67988264701163,-12.320850265523909,7.962394490101017e-06
profile_cont_resilience_index,Resilience Index,exploratory,-48.178838834157965,79.42041034438866,0.5440961913182787,-203.8399827465521,107.48230507823617,-1.962450375640894,0.965222915433644
profile_cont_big_five_neuroticism_anxiety_pct,Big Five Neuroticism Anxiety %,exploratory,51.05774761270185,89.79796253835927,0.5696380101850793,-124.94302484755929,227.058520072963,0.6820653203763897,0.9796803668334828
profile_cont_big_five_agreeableness_trust_pct,Big Five Agreeableness Trust %,exploratory,59.41818141655646,108.8306160895299,0.5850870016167051,-153.88590653422747,272.7222693673404,-3.71126606215949,0.9588958733950352
profile_cont_big_five_agreeableness_straightforwardness_pct,Big Five Agreeableness Straightforwardness %,exploratory,-24.96416711146359,46.82113877409313,0.5939079153288152,-116.73191282383796,66.80357860091081,-22.037247142375012,0.8387527532741272
profile_cont_big_five_conscientiousness_competence_pct,Big Five Conscientiousness Competence %,exploratory,-12.505055111993334,27.877372710806913,0.6537392383139795,-67.14370160877462,42.13359138478795,-12.162933254778425,0.3953823041503239
profile_cont_big_five_conscientiousness_order_pct,Big Five Conscientiousness Order %,exploratory,-35.59279206330717,100.93254096750898,0.7243587856302505,-233.41693722773832,162.23135310112397,-6.58239620160346,0.9022975061814114
profile_cont_big_five_extraversion_gregariousness_pct,Big Five Extraversion Gregariousness %,exploratory,10.411657023035358,49.38496894584377,0.8330227087589379,-86.38110348844742,107.20441753451814,12.351000002299456,0.4843905363289156
profile_cont_big_five_extraversion_activity_level_pct,Big Five Extraversion Activity Level %,exploratory,22.802813475451664,151.70876809507624,0.8805228074686268,-274.54090812983696,320.1465350807403,10.09140538896971,0.9055505197836642
profile_cat__profile_cat_sex_Other,Sex Other,exploratory,34.37087573896426,288.86168178881826,0.9052854060485443,-531.7876170807891,600.5293685587177,-41.55166701687841,0.9476121453960684
profile_cont_big_five_neuroticism_depression_pct,Big Five Neuroticism Depression %,exploratory,74.97160447580548,697.8077349127745,0.9144408987768144,-1292.706424086706,1442.6496330383168,-19.085839199611765,0.9809602794460788
profile_cat__profile_cat_sex_Female,Sex Female,exploratory,-34.3708757389642,403.97251076811426,0.932196029949318,-826.1424475886873,757.400696110759,41.551667016878405,0.9621625883394128
profile_cont_big_five_extraversion_positive_emotions_pct,Big Five Extraversion Positive Emotions %,exploratory,26.05629731352302,504.0602244010465,0.9587734538743564,-961.883588551706,1013.996183178752,9.288631552376753,0.9789138228925326
profile_cont_big_five_extraversion_mean_pct,Big Five Extraversion Mean %,exploratory,23.237183665006047,581.4634805457098,0.9681224069906912,-1116.4102965298914,1162.8846638599036,9.987488094698591,0.9553465310211048
profile_cont_big_five_conscientiousness_achievement_striving_pct,Big Five Conscientiousness Achievement Striving %,exploratory,-8.485846735856093,237.2850114565241,0.9714719311298712,-473.5559232618175,456.58422979010527,-12.078434772711123,0.9050753934887132
profile_cont_big_five_conscientiousness_deliberation_pct,Big Five Conscientiousness Deliberation %,exploratory,-9.552918416344466,inf,1.0,-inf,inf,-12.33349812977943,1.0
profile_cont_big_five_extraversion_assertiveness_pct,Big Five Extraversion Assertiveness %,exploratory,20.37899025305014,inf,1.0,-inf,inf,10.652602465931263,1.0
profile_cont_susceptibility_index,Susceptibility Index,primary,48.178838834157936,67.36627120417972,0.474499394023864,-83.85662649879205,180.2143041671079,1.9624503756408331,0.956131988257724
