moderator_column,moderator_label,role,interaction_estimate,interaction_std_error,interaction_p_value,interaction_conf_low,interaction_conf_high,moderator_main_estimate,moderator_main_p_value
profile_cont_big_five_neuroticism_stress_vulnerability_pct,Big Five Neuroticism Stress Vulnerability %,exploratory,-28.691555897279496,13.273988019525339,0.03065772058792998,-54.70809434676532,-2.675017447793671,-1.2401174158272077,0.83224033274755
profile_cont_resilience_index,Resilience Index,exploratory,21.707428836244496,10.847650477278975,0.045379672918621154,0.44642458389897755,42.96843308859002,1.3376679797383715,0.8489721613592143
profile_cont_big_five_neuroticism_anxiety_pct,Big Five Neuroticism Anxiety %,exploratory,-24.359279143500896,13.840549174688439,0.07840887731717264,-51.4862570521458,2.767698765144015,-2.3523808299141726,0.7152217935346938
profile_cont_big_five_neuroticism_depression_pct,Big Five Neuroticism Depression %,exploratory,-26.793738586716053,15.87116341911063,0.09137235352255636,-57.90064728092247,4.313170107490365,0.13064089386380132,0.9822254227322869
profile_cont_big_five_neuroticism_mean_pct,Big Five Neuroticism Mean %,exploratory,-26.73348101714288,16.396698954003533,0.10301308112858745,-58.87042043233538,5.403458398049622,-1.195791141735943,0.8660013326830251
profile_cont_big_five_neuroticism_anger_hostility_pct,Big Five Neuroticism Anger Hostility %,exploratory,-30.993306462000668,19.55613150254689,0.11300307499285178,-69.32261988392175,7.336006959920411,-1.1094826526896535,0.8840543861994662
profile_cont_big_five_neuroticism_self_consciousness_pct,Big Five Neuroticism Self Consciousness %,exploratory,-17.653113885177884,18.60319088223076,0.34265654446943594,-54.11469801187408,18.808470241518318,-3.334264269412868,0.6787534458629512
profile_cont_big_five_conscientiousness_deliberation_pct,Big Five Conscientiousness Deliberation %,exploratory,18.011670251283252,23.934079218460003,0.45171839066613906,-28.898263020026913,64.92160352259341,-0.45156465463161866,0.951071106468621
profile_cont_big_five_neuroticism_impulsiveness_pct,Big Five Neuroticism Impulsiveness %,exploratory,-16.30944030676802,22.330286276350417,0.4651621593556713,-60.07599717288387,27.457116559347828,1.2612990140450626,0.8277854431034638
profile_cat__profile_cat_sex_Other,Sex Other,exploratory,-16.48415490450869,24.7657259788983,0.5056645425355755,-65.02408587413733,32.05577606511996,-0.10217271297019437,0.9719554681448264
profile_cont_big_five_conscientiousness_dutifulness_pct,Big Five Conscientiousness Dutifulness %,exploratory,10.47509309766309,19.460006513392702,0.5903780532914809,-27.665818807501473,48.616005002827656,-1.8517881345946918,0.7771069196090975
profile_cont_big_five_openness_to_experience_ideas_pct,Big Five Openness To Experience Ideas %,exploratory,13.398234624571808,25.83428207581298,0.6040241595398479,-37.2360278104703,64.03249705961392,-2.9916116869037923,0.777611813312726
profile_cont_big_five_agreeableness_compliance_pct,Big Five Agreeableness Compliance %,exploratory,13.105440253629396,25.337073763516095,0.604986091940932,-36.554311796496876,62.76519230375567,4.097694619717327,0.4557692026156748
