moderator_column,moderator_label,role,interaction_estimate,interaction_std_error,interaction_p_value,interaction_conf_low,interaction_conf_high,moderator_main_estimate,moderator_main_p_value
profile_cont_big_five_neuroticism_stress_vulnerability_pct,Big Five Neuroticism Stress Vulnerability %,exploratory,-28.61861818717516,14.784271008337305,0.0528986126623512,-57.59525690119594,0.3580205268456247,-2.8995682832893412,0.8332682024415873
profile_cont_big_five_neuroticism_anxiety_pct,Big Five Neuroticism Anxiety %,exploratory,-24.490049885211256,14.703380836960068,0.0957917723982537,-53.308146776629385,4.328047006206873,-3.4178859596990847,0.8033721535047751
profile_cont_big_five_neuroticism_mean_pct,Big Five Neuroticism Mean %,exploratory,-27.06713469910397,18.35820924241977,0.1403769880436966,-63.048563634897064,8.914294236689127,-3.9350368185356146,0.8374186074648085
profile_cont_big_five_neuroticism_anger_hostility_pct,Big Five Neuroticism Anger Hostility %,exploratory,-30.791138113036133,21.346338481739025,0.1491739857846485,-72.62919273904603,11.046916512973771,-6.356847186969674,0.7389585832523188
profile_cont_big_five_neuroticism_depression_pct,Big Five Neuroticism Depression %,exploratory,-26.733062386184105,19.441259075346004,0.1691102180898708,-64.83722998797475,11.37110521560654,0.8728316313427165,0.9632239275325352
profile_cont_resilience_index,Resilience Index,exploratory,19.97254934783902,16.05271705259572,0.213431492657856,-11.49019792926056,51.4352966249386,5.969540799295217,0.7783026413999713
profile_cont_big_five_neuroticism_self_consciousness_pct,Big Five Neuroticism Self Consciousness %,exploratory,-18.914454189749183,19.604975875566097,0.334655895365979,-57.33950082363533,19.51059244413697,-7.081303228563954,0.7325220258910823
profile_cont_big_five_conscientiousness_deliberation_pct,Big Five Conscientiousness Deliberation %,exploratory,20.774391646157763,22.80374376421645,0.3622911897785121,-23.92012484438631,65.46890813670184,-3.2249151300987418,0.7524287968761865
profile_cont_big_five_agreeableness_compliance_pct,Big Five Agreeableness Compliance %,exploratory,18.517735710468074,23.811602256743996,0.4367594471420383,-28.15214712694283,65.18761854787897,2.0104467253875313,0.8270220373148245
profile_cont_big_five_agreeableness_straightforwardness_pct,Big Five Agreeableness Straightforwardness %,exploratory,16.53969748287642,23.23306643676588,0.4765246367424214,-28.996275983611035,62.075670949363875,4.872954051714565,0.7296069239317367
profile_cont_big_five_neuroticism_impulsiveness_pct,Big Five Neuroticism Impulsiveness %,exploratory,-17.786404836388805,28.3545086858232,0.5304713511305506,-73.3602206599304,37.7874109871528,6.659085705246355,0.7921934343735678
profile_cont_big_five_conscientiousness_dutifulness_pct,Big Five Conscientiousness Dutifulness %,exploratory,12.112131868392282,21.168609941555335,0.5672039833550524,-29.377581219832713,53.60184495661728,-4.580722868485729,0.6020164611461107
profile_cont_big_five_agreeableness_trust_pct,Big Five Agreeableness Trust %,exploratory,15.63175992008155,27.988595267759177,0.5764998468161067,-39.22487878259463,70.48839862275773,4.115628630256722,0.8316435690151843
profile_cat__profile_cat_sex_Female,Sex Female,exploratory,-3.691743101277929,7.844701041473884,0.6379239683416245,-19.067074612050593,11.683588409494735,-2.6309388356719765,0.8216282728673723
profile_cont_big_five_openness_to_experience_ideas_pct,Big Five Openness To Experience Ideas %,exploratory,12.553215418093671,27.92105030074281,0.6530011816746151,-42.17103758189348,67.27746841808082,-6.6447084183486425,0.6600281597763218
profile_cat__profile_cat_sex_Other,Sex Other,exploratory,-12.479330262261726,29.099167624631395,0.6680285818918169,-69.51265078663322,44.55399026210976,-3.550463517618713,0.7033085315078025
profile_cont_big_five_agreeableness_mean_pct,Big Five Agreeableness Mean %,exploratory,11.767503356299828,28.883160230037713,0.6837014160985211,-44.84245045427372,68.37745716687337,6.256181844345676,0.7142534429591502
profile_cat__profile_cat_sex_Male,Sex Male,exploratory,10.80406417790055,27.1479313943838,0.6906522475707216,-42.40490360985595,64.01303196565705,3.886096119079983,0.6581902085787337
profile_cont_big_five_conscientiousness_mean_pct,Big Five Conscientiousness Mean %,exploratory,9.471158213681342,25.542723148027292,0.7107889372508404,-40.5916592235297,59.53397565089239,-4.215731513021581,0.740950870276861
profile_cont_big_five_extraversion_positive_emotions_pct,Big Five Extraversion Positive Emotions %,exploratory,-9.200294586256716,28.487545821655775,0.7467266842671694,-65.03485840463654,46.6342692321231,8.768913163707857,0.5607986410881833
profile_cont_big_five_extraversion_warmth_pct,Big Five Extraversion Warmth %,exploratory,-14.733311736266938,45.93068829948536,0.7483826354280401,-104.75580658839353,75.28918311585963,2.1703502615852277,0.9618799410527036
profile_cont_big_five_extraversion_gregariousness_pct,Big Five Extraversion Gregariousness %,exploratory,-15.65861761885364,57.304387216901745,0.7846584477193583,-127.97315272011852,96.65591748241124,4.868119667060185,0.7905269555330386
profile_cont_big_five_conscientiousness_order_pct,Big Five Conscientiousness Order %,exploratory,7.669907347345671,28.578001028596137,0.7884029698085849,-48.341945418851374,63.681760113542715,-3.1537265669330488,0.7007507317762334
profile_cont_big_five_conscientiousness_competence_pct,Big Five Conscientiousness Competence %,exploratory,9.065679527084388,39.9911590273335,0.8206631762227501,-69.31555186650314,87.44691092067191,-9.185756864998416,0.6784634192024879
profile_cont_big_five_extraversion_mean_pct,Big Five Extraversion Mean %,exploratory,-7.103289148699133,32.35475764018192,0.8262263993130935,-70.51744885197786,56.31087055457959,6.453875078911551,0.7561347016356907
profile_cont_big_five_agreeableness_tender_mindedness_pct,Big Five Agreeableness Tender Mindedness %,exploratory,7.390281662029835,35.78900322532364,0.83640358384347,-62.75487570219234,77.535439026252,6.863233427909037,0.6931135056346907
profile_cont_big_five_conscientiousness_self_discipline_pct,Big Five Conscientiousness Self Discipline %,exploratory,5.254417695954228,25.492666069953113,0.836701179193381,-44.71028967106011,55.21912506296857,-3.632756944070444,0.7940603682250045
profile_cont_big_five_openness_to_experience_feelings_pct,Big Five Openness To Experience Feelings %,exploratory,-5.885371216563229,31.23010410554725,0.8505224492283443,-67.09525049687232,55.32450806374586,1.3581990283037726,0.9418660459429704
profile_cont_big_five_extraversion_assertiveness_pct,Big Five Extraversion Assertiveness %,exploratory,-5.078845877768727,29.029518859751285,0.8611153608940502,-61.975657331407504,51.81796557587005,6.286919691913475,0.6056546037161868
profile_cont_big_five_agreeableness_modesty_pct,Big Five Agreeableness Modesty %,exploratory,6.005289445168017,34.85260220113098,0.8631974870369816,-62.304555636550106,74.31513452688614,10.907712948250037,0.548039905471455
profile_cont_big_five_openness_to_experience_actions_pct,Big Five Openness To Experience Actions %,exploratory,5.09572448522934,31.594350107759375,0.871868195804991,-56.82806384092821,67.01951281138689,-3.887535738564967,0.7839610669813918
profile_cont_big_five_openness_to_experience_fantasy_pct,Big Five Openness To Experience Fantasy %,exploratory,2.9559169522788338,24.5099745514489,0.904007415706482,-45.08275043055427,50.99458433511194,-8.81846005104331,0.6089395538351722
profile_cont_age_years,Age Years,exploratory,3.028481620826412,42.65391050228871,0.9433967483738817,-80.57164676345423,86.62861000510705,9.10254589869504,0.6052072554217426
profile_cont_big_five_openness_to_experience_mean_pct,Big Five Openness To Experience Mean %,exploratory,1.7591699332955957,28.94270465626308,0.951533528543263,-54.96748880815976,58.485828674750955,-2.954328106608365,0.8521066870588325
profile_cont_big_five_agreeableness_altruism_pct,Big Five Agreeableness Altruism %,exploratory,2.062322715921624,37.46154148723442,0.9560972506320834,-71.36094940441089,75.48559483625414,8.5376054155143,0.7495741870182187
profile_cont_big_five_conscientiousness_achievement_striving_pct,Big Five Conscientiousness Achievement Striving %,exploratory,-1.91676706553276,36.053999561905854,0.957601410516633,-72.58130770549113,68.7477735744256,-2.4210827802231236,0.8384454440955977
profile_cont_big_five_openness_to_experience_aesthetics_pct,Big Five Openness To Experience Aesthetics %,exploratory,-1.34291514390209,31.962413256613647,0.9664863824760238,-63.98809398585042,61.30226369804624,-1.2967549801935832,0.926512826865485
profile_cont_big_five_extraversion_activity_level_pct,Big Five Extraversion Activity Level %,exploratory,-0.4112400682555091,22.491025177635024,0.9854117890942587,-44.49283939180373,43.67035925529271,7.215500638604837,0.5708113810701725
profile_cont_big_five_extraversion_excitement_seeking_pct,Big Five Extraversion Excitement Seeking %,exploratory,0.4864563087319737,27.75470535599332,0.9860162051108888,-53.91176659053587,54.88467920799982,5.3623704121887386,0.6981505467958509
