lhs,op,rhs,estimate,std_error,z_value,p_value,label,sig
baseline_score,~,opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___conscription_support,-577.4136752467592,177.754325526047,-3.2483804460901595,0.0011606397145433878,baseline_score ~ opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___conscription_support,**
baseline_score,~,Susceptibility Index (z),-170.0118895621538,64.4421447207962,-2.638209673168846,0.008334503223591305,baseline_score ~ Susceptibility Index (z),**
delta_score,~,Susceptibility Index (z),-16.969945561408487,3.5731281270150927,-4.749324669636191,2.040970549899157e-06,delta_score ~ Susceptibility Index (z),***
delta_score,~,opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___conscription_support,-9.987376720042162,10.01488662526773,-0.9972530986863938,0.31864167304476343,delta_score ~ opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___conscription_support,
delta_score,~,Exposure Quality (z),-8.575321066521534,3.24298057577093,-2.6442714861097625,0.008186696411567329,delta_score ~ Exposure Quality (z),**
delta_score,~,Baseline Score,-0.11324561665441955,0.009749513804132155,-11.615514262342696,0.0,delta_score ~ Baseline Score,***
delta_score,~,Baseline Extremity,0.08940015527808517,0.01342696789510001,6.658253447083336,2.7710056471619282e-11,delta_score ~ Baseline Extremity,***
baseline_score,~,opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___defense_spending_increase_support,8.798660973874323,179.19366636605506,0.04910140605025881,0.9608384828947545,baseline_score ~ opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___defense_spending_increase_support,
delta_score,~,opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___defense_spending_increase_support,64.10912629834873,7.954990067528671,8.058982569950217,6.661338147750939e-16,delta_score ~ opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___defense_spending_increase_support,***
delta_score,~,opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___strategic_autonomy_support,80.1809110553982,9.413911067305381,8.51727942638622,0.0,delta_score ~ opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___strategic_autonomy_support,***
baseline_score,~,opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___strategic_autonomy_support,290.34064496301005,181.90685300788388,1.5960951451918364,0.11046755243517237,baseline_score ~ opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___strategic_autonomy_support,
