term,weighted_mean_estimate,weighted_mean_abs_estimate,n_tasks,normalized_weight_pct,moderator_label,ontology_group,direction,estimate,mean_abs_estimate
profile_cat__profile_cat_sex_Male,-0.7925783083423353,1.0047398776908407,4,8.538023623555803,Sex Male,Demographics: Sex,lower_effectivity,-0.7925783083423353,1.0047398776908407
profile_cont_age_years,-0.7256988426489793,1.0024383254860838,4,8.518465619010165,Age Years,Demographics: Age,lower_effectivity,-0.7256988426489793,1.0024383254860838
profile_cat__profile_cat_sex_Female,0.7706248404470677,0.8112222481479161,4,6.893560086974236,Sex Female,Demographics: Sex,higher_effectivity,0.7706248404470677,0.8112222481479161
profile_cont_big_five_neuroticism_impulsiveness_pct,0.4525017147264127,0.7039860462891857,4,5.9822941512830035,Big Five Neuroticism Impulsiveness %,Personality: Neuroticism,higher_effectivity,0.4525017147264127,0.7039860462891857
profile_cont_big_five_openness_to_experience_values_pct,0.5931803426670389,0.6269017474762849,4,5.327251409491586,Big Five Openness To Experience Values %,Personality: Openness,higher_effectivity,0.5931803426670389,0.6269017474762849
profile_cont_big_five_extraversion_activity_level_pct,-0.3083358888984288,0.5021057544676257,4,4.266766840209968,Big Five Extraversion Activity Level %,Personality: Extraversion,lower_effectivity,-0.3083358888984288,0.5021057544676257
profile_cont_big_five_extraversion_positive_emotions_pct,0.3961045102010351,0.4590336208219396,4,3.900750816809952,Big Five Extraversion Positive Emotions %,Personality: Extraversion,higher_effectivity,0.3961045102010351,0.4590336208219396
profile_cont_big_five_extraversion_excitement_seeking_pct,-0.1971294451242695,0.4361737539730926,4,3.706493489594705,Big Five Extraversion Excitement Seeking %,Personality: Extraversion,lower_effectivity,-0.1971294451242695,0.4361737539730926
profile_cont_big_five_openness_to_experience_aesthetics_pct,-0.3947567904453911,0.4317200933285534,4,3.668647415562321,Big Five Openness To Experience Aesthetics %,Personality: Openness,lower_effectivity,-0.3947567904453911,0.4317200933285534
profile_cont_big_five_agreeableness_tender_mindedness_pct,-0.3668935645922798,0.3735344032703794,4,3.174200238436891,Big Five Agreeableness Tender Mindedness %,Personality: Agreeableness,lower_effectivity,-0.3668935645922798,0.3735344032703794
profile_cont_big_five_agreeableness_modesty_pct,0.2609427425672396,0.3647415202756078,4,3.099480557855423,Big Five Agreeableness Modesty %,Personality: Agreeableness,higher_effectivity,0.2609427425672396,0.3647415202756078
profile_cont_big_five_extraversion_warmth_pct,-0.1717600899731212,0.3512183214780001,4,2.984563858156615,Big Five Extraversion Warmth %,Personality: Extraversion,lower_effectivity,-0.1717600899731212,0.3512183214780001
profile_cat__profile_cat_sex_Other,0.0219534678952606,0.3275224244611726,4,2.783202159468996,Sex Other,Demographics: Sex,higher_effectivity,0.0219534678952606,0.3275224244611726
profile_cont_big_five_neuroticism_anger_hostility_pct,-0.144247045462985,0.305447860473814,4,2.595618135993265,Big Five Neuroticism Anger Hostility %,Personality: Neuroticism,lower_effectivity,-0.144247045462985,0.305447860473814
profile_cont_big_five_conscientiousness_competence_pct,-0.2376532903903488,0.3052096256366023,4,2.593593677013153,Big Five Conscientiousness Competence %,Personality: Conscientiousness,lower_effectivity,-0.2376532903903488,0.3052096256366023
profile_cont_big_five_conscientiousness_achievement_striving_pct,-0.2771454285763034,0.2836476528579809,4,2.4103655230978926,Big Five Conscientiousness Achievement Striving %,Personality: Conscientiousness,lower_effectivity,-0.2771454285763034,0.2836476528579809
profile_cont_big_five_extraversion_gregariousness_pct,-0.0513142702908707,0.2548355078874019,4,2.165527252152095,Big Five Extraversion Gregariousness %,Personality: Extraversion,lower_effectivity,-0.0513142702908707,0.2548355078874019
profile_cont_big_five_openness_to_experience_actions_pct,0.178089301256419,0.2426258696164889,4,2.0617728553108834,Big Five Openness To Experience Actions %,Personality: Openness,higher_effectivity,0.178089301256419,0.2426258696164889
profile_cont_big_five_extraversion_mean_pct,-0.0214377341420518,0.2353793665403832,4,2.000193917492514,Big Five Extraversion Mean %,Personality: Extraversion,lower_effectivity,-0.0214377341420518,0.2353793665403832
profile_cont_big_five_conscientiousness_self_discipline_pct,-0.0545128541553286,0.1927917956867635,4,1.6382955853055383,Big Five Conscientiousness Self Discipline %,Personality: Conscientiousness,lower_effectivity,-0.0545128541553286,0.1927917956867635
profile_cont_big_five_extraversion_assertiveness_pct,0.186746517223639,0.186746517223639,4,1.5869243483563742,Big Five Extraversion Assertiveness %,Personality: Extraversion,higher_effectivity,0.186746517223639,0.186746517223639
profile_cont_big_five_openness_to_experience_fantasy_pct,-0.1557915332959682,0.1827974408884446,4,1.5533661032923824,Big Five Openness To Experience Fantasy %,Personality: Openness,lower_effectivity,-0.1557915332959682,0.1827974408884446
profile_cont_big_five_neuroticism_stress_vulnerability_pct,0.0714221567641674,0.1712504250488678,4,1.4552425031358291,Big Five Neuroticism Stress Vulnerability %,Personality: Neuroticism,higher_effectivity,0.0714221567641674,0.1712504250488678
profile_cont_big_five_agreeableness_straightforwardness_pct,0.1593116053442204,0.1663930890710499,4,1.4139660989171865,Big Five Agreeableness Straightforwardness %,Personality: Agreeableness,higher_effectivity,0.1593116053442204,0.1663930890710499
profile_cont_big_five_neuroticism_anxiety_pct,-0.0264312956111151,0.1613693709984552,4,1.371275822026339,Big Five Neuroticism Anxiety %,Personality: Neuroticism,lower_effectivity,-0.0264312956111151,0.1613693709984552
profile_cont_big_five_openness_to_experience_ideas_pct,-0.0324782334507023,0.1584588062120379,4,1.3465425836468363,Big Five Openness To Experience Ideas %,Personality: Openness,lower_effectivity,-0.0324782334507023,0.1584588062120379
