profile_id,conditional_target_attack_count,conditional_target_opinion_count,conditional_target_task_count,imputed_feature_count,imputed_features,predicted_effectivity__attack_vectors___social_media_misinformation___misleading_narrative_framing____issue_position_taxonomy___defense_and_national_security___alliance_commitment_support,weighted_effectivity__attack_vectors___social_media_misinformation___misleading_narrative_framing____issue_position_taxonomy___defense_and_national_security___alliance_commitment_support,predicted_effectivity__attack_vectors___social_media_misinformation___misleading_narrative_framing____issue_position_taxonomy___defense_and_national_security___civil_defense_preparedness_support,weighted_effectivity__attack_vectors___social_media_misinformation___misleading_narrative_framing____issue_position_taxonomy___defense_and_national_security___civil_defense_preparedness_support,predicted_effectivity__attack_vectors___social_media_misinformation___misleading_narrative_framing____issue_position_taxonomy___defense_and_national_security___domestic_security_powers_expansion_support,weighted_effectivity__attack_vectors___social_media_misinformation___misleading_narrative_framing____issue_position_taxonomy___defense_and_national_security___domestic_security_powers_expansion_support,predicted_effectivity__attack_vectors___social_media_misinformation___misleading_narrative_framing____issue_position_taxonomy___defense_and_national_security___strategic_autonomy_support,weighted_effectivity__attack_vectors___social_media_misinformation___misleading_narrative_framing____issue_position_taxonomy___defense_and_national_security___strategic_autonomy_support,conditional_susceptibility_raw_score,susceptibility_index_pct,contribution__profile_cat__profile_cat_sex_Female,contribution__profile_cat__profile_cat_sex_Male,contribution__profile_cat__profile_cat_sex_Other,contribution__profile_cont_age_years,contribution__profile_cont_big_five_agreeableness_altruism_pct,contribution__profile_cont_big_five_agreeableness_compliance_pct,contribution__profile_cont_big_five_agreeableness_mean_pct,contribution__profile_cont_big_five_agreeableness_modesty_pct,contribution__profile_cont_big_five_agreeableness_straightforwardness_pct,contribution__profile_cont_big_five_agreeableness_tender_mindedness_pct,contribution__profile_cont_big_five_agreeableness_trust_pct,contribution__profile_cont_big_five_conscientiousness_achievement_striving_pct,contribution__profile_cont_big_five_conscientiousness_competence_pct,contribution__profile_cont_big_five_conscientiousness_deliberation_pct,contribution__profile_cont_big_five_conscientiousness_dutifulness_pct,contribution__profile_cont_big_five_conscientiousness_mean_pct,contribution__profile_cont_big_five_conscientiousness_order_pct,contribution__profile_cont_big_five_conscientiousness_self_discipline_pct,contribution__profile_cont_big_five_extraversion_activity_level_pct,contribution__profile_cont_big_five_extraversion_assertiveness_pct,contribution__profile_cont_big_five_extraversion_excitement_seeking_pct,contribution__profile_cont_big_five_extraversion_gregariousness_pct,contribution__profile_cont_big_five_extraversion_mean_pct,contribution__profile_cont_big_five_extraversion_positive_emotions_pct,contribution__profile_cont_big_five_extraversion_warmth_pct,contribution__profile_cont_big_five_neuroticism_anger_hostility_pct,contribution__profile_cont_big_five_neuroticism_anxiety_pct,contribution__profile_cont_big_five_neuroticism_depression_pct,contribution__profile_cont_big_five_neuroticism_impulsiveness_pct,contribution__profile_cont_big_five_neuroticism_mean_pct,contribution__profile_cont_big_five_neuroticism_self_consciousness_pct,contribution__profile_cont_big_five_neuroticism_stress_vulnerability_pct,contribution__profile_cont_big_five_openness_to_experience_actions_pct,contribution__profile_cont_big_five_openness_to_experience_aesthetics_pct,contribution__profile_cont_big_five_openness_to_experience_fantasy_pct,contribution__profile_cont_big_five_openness_to_experience_feelings_pct,contribution__profile_cont_big_five_openness_to_experience_ideas_pct,contribution__profile_cont_big_five_openness_to_experience_mean_pct,contribution__profile_cont_big_five_openness_to_experience_values_pct,mean_abs_delta_score,mean_signed_delta_score,mean_adversarial_effectivity,observed_effectivity_pct
profile_0344,1,4,4,0,,20.035318339811692,2.777767343611856,-22.866164942605376,-2.6390973120837615,-42.02790526661396,-24.305052489185055,28.117691657605132,4.713481756922159,-19.4529007007348,100.0,0.7706248404470678,-0.0,0.0,0.7250417126459013,-0.003134225288104552,0.00041136806858013133,0.0004427712743774603,0.19436832010566177,-0.042889388084280854,-0.1864788121209435,-4.9288633443970725e-05,0.3491935092468771,0.29595371904875145,0.21154918937240272,0.08101032237840027,0.19172679354286243,0.1394502647034962,0.037859094267459585,0.14877788758805843,0.06664414985638092,0.03948241613016143,-0.0013771979828043662,-0.0002162838032376319,0.015792571852801727,-0.051887553127466624,-0.1080099374113431,-0.018548401238680557,0.010169890034681835,0.10727337081416803,0.019074354533934322,0.0035564095610792134,0.02082181724301126,0.09436920742830887,-0.08593173617210507,0.021603059773586827,0.0026342187135551406,-0.0018514868901776092,0.004020920484618414,-0.10069387927353952,26.25,-4.75,-7.75,51.0
profile_0036,1,4,4,0,,26.075247695022206,3.6151644957842866,-21.29198382621004,-2.4574132752791797,-44.01730455174855,-25.455537000378467,28.074634911471527,4.7062639813705776,-19.591521798502782,99.0,0.7706248404470678,-0.0,0.0,0.9526128716684692,-0.08251366064564511,-0.0016640191416780387,0.004161151914895923,0.3686608195135169,0.2469255615203836,-0.31789677092275453,0.028395647024946857,0.0939540524233046,0.06486331056283323,0.051701112355487425,0.028556333603956947,0.06594107921876502,0.03659732551289101,0.03998994509608789,0.17363228042076384,-0.09907191873251447,0.045822550189272344,0.0028908342589132395,0.008694424656629736,-0.17189092156413682,0.08899723061554218,-0.2013905866798113,-0.05060045515660772,-0.11177106329484382,0.8097103628716423,0.09558714534853291,0.043617094356281645,0.08093306799928611,-0.2158227788717886,0.3225420815887745,0.25386751373217425,-0.12292878349982692,0.03717018304663868,-0.05664778590605049,-0.4720871842093014,53.25,18.25,6.75,83.5
profile_0288,1,4,4,0,,19.454024562897988,2.6971747199674816,-16.14693779978466,-1.8635980389696256,-43.78711043495585,-25.322414018020535,28.780127363176216,4.824528518916885,-19.664308818105795,98.0,0.7706248404470678,-0.0,0.0,0.22438516279625192,0.08468834264406198,0.002301565337865467,-0.004704699437339188,-0.2620004476745023,-0.1460658886404944,0.4845453097768988,-0.06537628692822833,0.2047312519088217,0.28122668369341125,0.1942664199626733,0.02758367685847059,0.14604674892112224,0.07738039069269405,0.05651345440533962,-0.030105283572608412,0.07455900637624799,-0.039044463682798916,-0.017642453446321846,-0.003837425464140862,0.02870035098682787,0.012791065517911034,-0.21439420360633307,-0.049153337442275534,-0.09723085756399337,0.7172243590660835,0.0965232540804922,0.05257598781516679,0.09615189780355038,-0.13494210464112197,0.44045431102476096,0.2257932841021789,-0.09859890606766121,0.03873455115580472,-0.05089149527858291,-0.3844381902082362,42.5,42.5,-21.0,24.0
profile_0023,1,4,4,0,,25.621012572986466,3.552187733103895,-28.65919097804383,-3.3076991295433587,-43.213859033893016,-24.990898437980455,28.979851329348207,4.858009050762649,-19.888400783657268,97.0,0.7706248404470678,-0.0,0.0,0.7250417126459013,-0.010589091676817595,-0.0011256749935821151,0.0021027769163672553,0.1326569077359792,0.15301784290469617,-0.20108384930889603,0.02319913445967627,0.0521742160529716,0.1393005931283623,0.07254801445539645,-0.012325024912964905,0.04193320025959045,0.010154352422441355,0.02021961378005181,0.38534179982293815,-0.1698824437711579,0.30383525747701695,0.053475596199886205,0.029039523198809748,-0.6338304652650809,0.25463179679966624,-0.02155286514166326,0.006323182857092722,0.015124477243301931,-0.20489245006306928,-0.005431393090175313,0.014889477011882524,-0.01757466223992884,0.23793749742919248,-0.4494517906579975,-0.20914325125318953,0.09148039607025289,-0.021664197770612778,0.056102799352809346,0.8826760576413651,52.25,17.25,3.75,78.0
profile_0416,1,4,4,0,,24.99453372199838,3.465330491096402,-26.5886680607137,-3.068729827981451,-43.749487120946476,-25.300656173654655,29.2648665490163,4.905787298518892,-19.998268212020815,96.0,0.0,-0.0,0.021953467895260606,-0.45832831427145176,-0.05788823335556815,-0.0020346220097055526,0.004296208192731894,0.37673680780113994,0.23567061202117337,-0.3341580494412997,0.04237791683540947,0.39901630096907775,0.3296048549335314,0.13546758525368596,0.04789284895491424,0.18276741567378033,0.1328992718145894,0.064844585598572,0.49311777869456763,-0.2820657818798164,0.3525210444205361,0.09217631627020836,0.03736735490887383,-0.6711972526307808,0.2888852518579487,-0.1353427295189015,-0.025384128336644517,-0.05743128141727249,0.6340925955127817,0.06260679409557755,0.03557134474044193,0.058285643764925336,0.3411673151437487,-0.5907622052728972,-0.258973724702974,0.1407805606704567,-0.057598653454691756,0.07824850452771623,0.7482330735444221,52.25,45.25,-21.25,23.0
profile_0369,1,4,4,0,,17.6988997116838,2.453838007619031,-27.192234082914954,-3.13839037100887,-42.15121470845003,-24.376363263234467,30.089523885625496,5.044027925066489,-20.01688770155782,95.0,0.7706248404470678,-0.0,0.0,0.17887093099173834,0.02923713308927626,0.002318289294003893,-0.0036211827838614702,-0.2373601347172464,-0.20701180798752522,0.33945309403903845,-0.03602820671940221,0.44377078706361955,0.4028296520043206,0.22415929663319578,0.09441164656812441,0.2328922878375749,0.12505140174492418,0.07255529231798048,0.2657624686909079,-0.1458204864814368,0.22574764792219362,0.05999630243060274,0.02184647469783135,-0.4751278135344113,0.1253538075807667,0.06855770859810506,0.02595948790877221,0.05516176792513206,-0.4088966732693987,-0.0494127137064207,-0.031394030978748634,-0.043332742414271416,0.18902200654057014,-0.6265029331336874,-0.18538374363992044,0.08772332561980144,-0.03782858675513773,0.058656341811610765,0.7745560526313638,60.5,27.0,3.0,76.5
profile_0277,1,4,4,0,,11.111100885828803,1.5404822957518378,-21.845351725476515,-2.521280204395331,-41.06836410317771,-23.750142645477517,27.557439511601267,4.619564436054483,-20.111376118066527,94.0,0.0,-0.0,0.021953467895260606,0.5884990172323605,0.07765315093703798,0.0015119158755294662,-0.004330461557886505,-0.10829518117419935,-0.23446260529551194,0.5989080892570707,-0.055695620493243274,0.5352283102915576,0.3174893267976308,0.14903654710960615,0.09160781462322748,0.2313641968002412,0.20345565934056625,0.06447788103736618,-0.3084060260640971,0.20853630195314524,-0.23960062120622197,-0.03717353854218867,-0.02235686508561549,0.3280457256810265,-0.1976308532757879,0.16862640178708002,0.024946305076923282,0.055883715772500966,-0.35294161864569656,-0.05713166329862459,-0.038570333205381876,-0.04285146085712388,-0.0175802396491504,0.3429716220231132,-0.021059039532006878,-0.04691357098451932,0.008979012838345738,-0.012576239889977608,0.07071004818597725,31.75,27.75,-18.75,28.000000000000004
profile_0068,1,4,4,0,,21.199075274650955,2.9391147180169246,-26.95408631413975,-3.110904557885816,-43.259494195862935,-25.01728959404677,30.241822234197684,5.0695583098628605,-20.1195211240528,93.0,0.7706248404470678,-0.0,0.0,-0.8679564005120739,-0.09870949325405379,-0.0014360158729908345,0.004596451763992115,0.28405905927007336,0.2214364111839368,-0.6122149617525161,0.038784554475166905,0.39230001866494085,0.2845563553981968,0.2045893082136267,0.09856776914131231,0.2053517877730813,0.1444497066450303,0.046323031977452966,0.5150130523450585,-0.19691329878637634,0.2763955086853915,0.06988689211649923,0.03078735933820624,-0.45878070046976877,0.2845327039114078,-0.11143338331659841,-0.007258077021459918,-0.02751886908268912,0.3295089912334577,0.031094892925767927,0.01203912371530876,0.03408561066541632,0.11010392801541674,-0.27226903339067626,-0.10745050403886598,0.05736505787395689,-0.04539456221568114,0.04098063435102608,0.6040658153550305,49.5,29.5,-13.0,44.0
profile_0481,1,4,4,0,,23.310480708605706,3.231847429526177,-23.583896420293623,-2.7219342555904387,-44.54272970394283,-25.75939430238311,30.363053444043576,5.089880785225935,-20.159600343221435,92.0,0.7706248404470678,-0.0,0.0,-0.09421445983534313,0.057418513596245405,0.002027292457195285,-0.0045579107286546836,-0.3075196543865596,-0.2016417994029347,0.5422673733397815,-0.05520836165524246,0.17768992392812236,0.22027597055398854,0.1184140054788894,0.04472178946325204,0.1293307112237492,0.0431914170392248,0.07617674763323995,0.30081919780856226,-0.28604635299507114,0.32945935586834285,0.08655558433169318,0.03182605523567585,-0.4417621636497471,0.27617508033338584,-0.023519292469641923,-0.01677357750455152,-0.03669288928949879,0.37866560895251405,0.028038441523828637,0.003085832365890146,0.032367136404866916,-0.11873880584058703,0.46616306699009197,0.06821461362359131,-0.02504855946908917,0.032253757877157715,-0.032860888696605486,-0.32709325394941074,51.25,-19.75,-16.25,32.5
profile_0258,1,4,4,0,,17.30651774551651,2.399436785070153,-31.43814099016415,-3.628431509713369,-41.45771142946706,-23.97530512126486,28.847523735291134,4.835826443878676,-20.368473402029398,91.0,0.0,-0.7925783083423354,0.0,1.08915556708201,-0.03803265701759146,-0.001238338711434643,0.0017725356525965768,0.15314356793758335,-0.017363456867117717,-0.2405051305659751,0.014733183719425615,0.37821448216598713,0.39333495789935774,0.17667494614670787,0.10216312532552087,0.24339718744023406,0.17289480734686238,0.09833164969052241,0.3185959958808216,-0.25328268210456056,0.29431773521738164,0.08892691618883225,0.028764761134188577,-0.3891581677946236,0.20032248355634205,0.25803037629200365,0.038375236775019896,0.08578072068351245,-0.5818904825247118,-0.08160808703474516,-0.02224018411042801,-0.10523588326184699,0.203439275339202,-0.32874640286627826,-0.10025359337340063,0.1406894801746882,-0.026279869243353068,0.04764927540275696,0.48491626456231907,31.0,9.0,-16.0,34.5
