term,weighted_mean_estimate,weighted_mean_abs_estimate,n_tasks,normalized_weight_pct,moderator_label,ontology_group,direction,estimate,mean_abs_estimate
profile_cat__profile_cat_sex_Male,-0.7925783083423353,1.0047398776908407,4,8.538023623555803,Sex Male,Demographics: Sex,lower_effectivity,-0.7925783083423353,1.0047398776908407
profile_cont_age_years,-0.7256988426489793,1.0024383254860838,4,8.518465619010165,Age Years,Demographics: Age,lower_effectivity,-0.7256988426489793,1.0024383254860838
profile_cat__profile_cat_sex_Female,0.7706248404470677,0.8112222481479161,4,6.893560086974236,Sex Female,Demographics: Sex,higher_effectivity,0.7706248404470677,0.8112222481479161
profile_cont_big_five_neuroticism_impulsiveness_pct,0.45250171472641276,0.7039860462891857,4,5.9822941512830035,Big Five Neuroticism Impulsiveness %,Personality: Neuroticism,higher_effectivity,0.45250171472641276,0.7039860462891857
profile_cont_big_five_openness_to_experience_values_pct,0.5931803426670389,0.6269017474762849,4,5.327251409491586,Big Five Openness To Experience Values %,Personality: Openness,higher_effectivity,0.5931803426670389,0.6269017474762849
profile_cont_big_five_extraversion_activity_level_pct,-0.30833588889842883,0.5021057544676257,4,4.266766840209968,Big Five Extraversion Activity Level %,Personality: Extraversion,lower_effectivity,-0.30833588889842883,0.5021057544676257
profile_cont_big_five_extraversion_positive_emotions_pct,0.3961045102010351,0.45903362082193966,4,3.9007508168099516,Big Five Extraversion Positive Emotions %,Personality: Extraversion,higher_effectivity,0.3961045102010351,0.45903362082193966
profile_cont_big_five_extraversion_excitement_seeking_pct,-0.1971294451242695,0.4361737539730926,4,3.706493489594705,Big Five Extraversion Excitement Seeking %,Personality: Extraversion,lower_effectivity,-0.1971294451242695,0.4361737539730926
profile_cont_big_five_openness_to_experience_aesthetics_pct,-0.39475679044539114,0.43172009332855343,4,3.6686474155623205,Big Five Openness To Experience Aesthetics %,Personality: Openness,lower_effectivity,-0.39475679044539114,0.43172009332855343
profile_cont_big_five_agreeableness_tender_mindedness_pct,-0.3668935645922798,0.3735344032703794,4,3.174200238436891,Big Five Agreeableness Tender Mindedness %,Personality: Agreeableness,lower_effectivity,-0.3668935645922798,0.3735344032703794
profile_cont_big_five_agreeableness_modesty_pct,0.2609427425672396,0.3647415202756078,4,3.0994805578554234,Big Five Agreeableness Modesty %,Personality: Agreeableness,higher_effectivity,0.2609427425672396,0.3647415202756078
profile_cont_big_five_extraversion_warmth_pct,-0.17176008997312128,0.35121832147800014,4,2.984563858156615,Big Five Extraversion Warmth %,Personality: Extraversion,lower_effectivity,-0.17176008997312128,0.35121832147800014
profile_cat__profile_cat_sex_Other,0.0219534678952606,0.32752242446117263,4,2.783202159468996,Sex Other,Demographics: Sex,higher_effectivity,0.0219534678952606,0.32752242446117263
profile_cont_big_five_neuroticism_anger_hostility_pct,-0.144247045462985,0.30544786047381406,4,2.595618135993265,Big Five Neuroticism Anger Hostility %,Personality: Neuroticism,lower_effectivity,-0.144247045462985,0.30544786047381406
profile_cont_big_five_conscientiousness_competence_pct,-0.23765329039034888,0.3052096256366023,4,2.593593677013153,Big Five Conscientiousness Competence %,Personality: Conscientiousness,lower_effectivity,-0.23765329039034888,0.3052096256366023
profile_cont_big_five_conscientiousness_achievement_striving_pct,-0.2771454285763034,0.2836476528579809,4,2.4103655230978926,Big Five Conscientiousness Achievement Striving %,Personality: Conscientiousness,lower_effectivity,-0.2771454285763034,0.2836476528579809
profile_cont_big_five_extraversion_gregariousness_pct,-0.051314270290870774,0.2548355078874019,4,2.165527252152095,Big Five Extraversion Gregariousness %,Personality: Extraversion,lower_effectivity,-0.051314270290870774,0.2548355078874019
profile_cont_big_five_openness_to_experience_actions_pct,0.178089301256419,0.24262586961648894,4,2.0617728553108834,Big Five Openness To Experience Actions %,Personality: Openness,higher_effectivity,0.178089301256419,0.24262586961648894
profile_cont_big_five_extraversion_mean_pct,-0.021437734142051815,0.23537936654038322,4,2.000193917492514,Big Five Extraversion Mean %,Personality: Extraversion,lower_effectivity,-0.021437734142051815,0.23537936654038322
profile_cont_big_five_conscientiousness_self_discipline_pct,-0.054512854155328694,0.19279179568676358,4,1.6382955853055385,Big Five Conscientiousness Self Discipline %,Personality: Conscientiousness,lower_effectivity,-0.054512854155328694,0.19279179568676358
profile_cont_big_five_extraversion_assertiveness_pct,0.18674651722363902,0.18674651722363902,4,1.5869243483563742,Big Five Extraversion Assertiveness %,Personality: Extraversion,higher_effectivity,0.18674651722363902,0.18674651722363902
profile_cont_big_five_openness_to_experience_fantasy_pct,-0.15579153329596823,0.18279744088844468,4,1.5533661032923824,Big Five Openness To Experience Fantasy %,Personality: Openness,lower_effectivity,-0.15579153329596823,0.18279744088844468
profile_cont_big_five_neuroticism_stress_vulnerability_pct,0.07142215676416745,0.17125042504886784,4,1.4552425031358291,Big Five Neuroticism Stress Vulnerability %,Personality: Neuroticism,higher_effectivity,0.07142215676416745,0.17125042504886784
profile_cont_big_five_agreeableness_straightforwardness_pct,0.15931160534422042,0.1663930890710499,4,1.4139660989171863,Big Five Agreeableness Straightforwardness %,Personality: Agreeableness,higher_effectivity,0.15931160534422042,0.1663930890710499
profile_cont_big_five_neuroticism_anxiety_pct,-0.026431295611115197,0.1613693709984552,4,1.371275822026339,Big Five Neuroticism Anxiety %,Personality: Neuroticism,lower_effectivity,-0.026431295611115197,0.1613693709984552
profile_cont_big_five_openness_to_experience_ideas_pct,-0.03247823345070236,0.15845880621203798,4,1.3465425836468365,Big Five Openness To Experience Ideas %,Personality: Openness,lower_effectivity,-0.03247823345070236,0.15845880621203798
