lhs,op,rhs,estimate,std_error,z_value,p_value
adversarial_delta_indicator__alliance_commitment_support,~,Age Years,-2.175103174687381,5.214175944109408,-0.4171518564010551,0.676567336915828
adversarial_delta_indicator__alliance_commitment_support,~,Big Five Neuroticism Mean %,1.228540707502174,3.8803653262090885,0.31660439268538576,0.7515438022526582
adversarial_delta_indicator__alliance_commitment_support,~,Big Five Openness To Experience Mean %,3.512136804556997,4.061262721569985,0.8647893636387123,0.38715441012011365
adversarial_delta_indicator__alliance_commitment_support,~,Big Five Conscientiousness Mean %,-0.5886612770060764,4.250448913209511,-0.13849390712037524,0.8898500846292645
adversarial_delta_indicator__alliance_commitment_support,~,Sex Female,30.88320134302529,9.136085278786075,3.3803538825028796,0.0007239255540012479
adversarial_delta_indicator__alliance_commitment_support,~,Sex Other,12.828070319897007,10.25554948744994,1.2508418330576918,0.2109921890375439
adversarial_delta_indicator__alliance_commitment_support,~,Mean Baseline Abs Score,-7.818746771371593,6.027982176930284,-1.2970752968204609,0.19460528031579116
adversarial_delta_indicator__alliance_commitment_support,~,Mean Exposure Quality Score,-5.2544537967521014,4.332047091413256,-1.2129262877049458,0.2251580040626877
adversarial_delta_indicator__civil_defense_preparedness_support,~,Age Years,0.016130283889195362,5.6656092484338405,0.002847051955383519,0.9977283842698375
adversarial_delta_indicator__civil_defense_preparedness_support,~,Big Five Neuroticism Mean %,8.232740033873648,4.216319877795613,1.9525890521797789,0.050868309445835536
adversarial_delta_indicator__civil_defense_preparedness_support,~,Big Five Openness To Experience Mean %,-2.4695193192625,4.41287902101596,-0.5596163655294119,0.575741139643172
adversarial_delta_indicator__civil_defense_preparedness_support,~,Big Five Conscientiousness Mean %,-3.774129664561104,4.618444588522323,-0.8171863042245192,0.4138219680827142
adversarial_delta_indicator__civil_defense_preparedness_support,~,Sex Female,-16.899489702981818,9.92706993488529,-1.702364324400762,0.0886870934300783
adversarial_delta_indicator__civil_defense_preparedness_support,~,Sex Other,-12.65090622035007,11.143455197270216,-1.1352768056579072,0.25625935728604543
adversarial_delta_indicator__civil_defense_preparedness_support,~,Mean Baseline Abs Score,7.548261169946528,6.5498732565005175,1.1524285851568186,0.24914500023517339
adversarial_delta_indicator__civil_defense_preparedness_support,~,Mean Exposure Quality Score,1.6079032063562648,4.707107379736486,0.34159050912620925,0.7326590806511954
adversarial_delta_indicator__domestic_security_powers_expansion_support,~,Age Years,-2.398311297520837,2.6845958694072216,-0.8933602725275399,0.37166427032945015
adversarial_delta_indicator__domestic_security_powers_expansion_support,~,Big Five Neuroticism Mean %,-1.1124392831924568,1.9978636774427472,-0.556814409187225,0.5776542379532599
adversarial_delta_indicator__domestic_security_powers_expansion_support,~,Big Five Openness To Experience Mean %,0.44967938690360465,2.0910013861771497,0.21505456183628407,0.8297247794044063
adversarial_delta_indicator__domestic_security_powers_expansion_support,~,Big Five Conscientiousness Mean %,-2.048494788836942,2.1884067046912152,-0.9360667669518262,0.3492388124357939
adversarial_delta_indicator__domestic_security_powers_expansion_support,~,Sex Female,2.1275061061431604,4.70384909617208,0.4522904673693805,0.6510597423749074
adversarial_delta_indicator__domestic_security_powers_expansion_support,~,Sex Other,-5.583037642961725,5.280221858185109,-1.0573490646621506,0.29035230851980875
adversarial_delta_indicator__domestic_security_powers_expansion_support,~,Mean Baseline Abs Score,-0.019411490607785766,3.1035960862290066,-0.006254515751553627,0.9950096509827748
adversarial_delta_indicator__domestic_security_powers_expansion_support,~,Mean Exposure Quality Score,-0.040489744455383316,2.230418737753583,-0.018153427322864644,0.9855164561190197
adversarial_delta_indicator__strategic_autonomy_support,~,Age Years,3.7411714183117004,5.262435491400928,0.710920147985518,0.4771337199157286
adversarial_delta_indicator__strategic_autonomy_support,~,Big Five Neuroticism Mean %,-0.004242381027919058,3.9162798553649596,-0.0010832680974282992,0.9991356772788944
adversarial_delta_indicator__strategic_autonomy_support,~,Big Five Openness To Experience Mean %,-1.0717764075152847,4.098851537612204,-0.2614821243658386,0.7937207328279077
adversarial_delta_indicator__strategic_autonomy_support,~,Big Five Conscientiousness Mean %,-1.142118105683239,4.289788732681648,-0.26624110809508506,0.7900535254633418
adversarial_delta_indicator__strategic_autonomy_support,~,Sex Female,-4.858259686198039,9.22064386374695,-0.5268894187854777,0.5982703822451065
adversarial_delta_indicator__strategic_autonomy_support,~,Sex Other,-15.16728603948131,10.350469217968287,-1.465371831950345,0.14281949821433737
adversarial_delta_indicator__strategic_autonomy_support,~,Mean Baseline Abs Score,4.4248550457581235,6.083773867517296,0.7273207620984634,0.46702948230537045
adversarial_delta_indicator__strategic_autonomy_support,~,Mean Exposure Quality Score,-1.4055661149020968,4.372142138783749,-0.32148225521615326,0.7478449574569859
adversarial_delta_indicator__alliance_commitment_support,~~,Adversarial Delta Indicator Civil Defense Preparedness Support,11.406973596687795,148.91645562889545,0.07659981933168125,0.9389419026850845
adversarial_delta_indicator__alliance_commitment_support,~~,Adversarial Delta Indicator Domestic Security Powers Expansion Support,50.98944700004049,70.7445908475835,0.720754002378706,0.47106088042832783
adversarial_delta_indicator__alliance_commitment_support,~~,Adversarial Delta Indicator Strategic Autonomy Support,-340.73112185577713,142.4503063486998,-2.391929723350046,0.016760051187590275
adversarial_delta_indicator__alliance_commitment_support,~~,Adversarial Delta Indicator Alliance Commitment Support,1370.4683578291927,193.8134938445228,7.071067811865439,1.5374368445009168e-12
adversarial_delta_indicator__civil_defense_preparedness_support,~~,Adversarial Delta Indicator Domestic Security Powers Expansion Support,-35.0183483283976,76.74952824035303,-0.4562679293445527,0.6481973228629652
adversarial_delta_indicator__civil_defense_preparedness_support,~~,Adversarial Delta Indicator Strategic Autonomy Support,-182.84575121951548,151.39851560324902,-1.2077116508769152,0.2271581949436723
adversarial_delta_indicator__civil_defense_preparedness_support,~~,Adversarial Delta Indicator Civil Defense Preparedness Support,1618.0460818322786,228.82627134718552,7.071067811865444,1.5374368445009168e-12
adversarial_delta_indicator__domestic_security_powers_expansion_support,~~,Adversarial Delta Indicator Strategic Autonomy Support,-31.2452785868566,71.28217944841816,-0.43833225679450705,0.6611454460298702
adversarial_delta_indicator__domestic_security_powers_expansion_support,~~,Adversarial Delta Indicator Domestic Security Powers Expansion Support,363.2917074440637,51.37720597650736,7.071067811865337,1.5374368445009168e-12
adversarial_delta_indicator__strategic_autonomy_support,~~,Adversarial Delta Indicator Strategic Autonomy Support,1395.954360823838,197.41775895309368,7.07106781186544,1.5374368445009168e-12
