profile_id,mean_baseline_score,mean_post_score,mean_signed_delta_score,mean_abs_delta_score,mean_baseline_abs_score,mean_exposure_quality_score,mean_attack_realism_score,mean_attack_coherence_score,mean_post_plausibility_score,mean_post_consistency_score,n_attacked_opinion_leaves,mean_adversarial_effectivity,profile_cont_chronological_age,profile_cont_big_five_agreeableness_altruism_pct,profile_cont_big_five_agreeableness_compliance_pct,profile_cont_big_five_agreeableness_modesty_pct,profile_cont_big_five_agreeableness_straightforwardness_pct,profile_cont_big_five_agreeableness_tender_mindedness_pct,profile_cont_big_five_agreeableness_trust_pct,profile_cont_big_five_agreeableness_mean_pct,profile_cont_big_five_conscientiousness_achievement_striving_pct,profile_cont_big_five_conscientiousness_competence_pct,profile_cont_big_five_conscientiousness_deliberation_pct,profile_cont_big_five_conscientiousness_dutifulness_pct,profile_cont_big_five_conscientiousness_order_pct,profile_cont_big_five_conscientiousness_self_discipline_pct,profile_cont_big_five_conscientiousness_mean_pct,profile_cont_big_five_extraversion_activity_level_pct,profile_cont_big_five_extraversion_assertiveness_pct,profile_cont_big_five_extraversion_excitement_seeking_pct,profile_cont_big_five_extraversion_gregariousness_pct,profile_cont_big_five_extraversion_positive_emotions_pct,profile_cont_big_five_extraversion_warmth_pct,profile_cont_big_five_extraversion_mean_pct,profile_cont_big_five_neuroticism_anger_hostility_pct,profile_cont_big_five_neuroticism_anxiety_pct,profile_cont_big_five_neuroticism_depression_pct,profile_cont_big_five_neuroticism_impulsiveness_pct,profile_cont_big_five_neuroticism_self_consciousness_pct,profile_cont_big_five_neuroticism_stress_vulnerability_pct,profile_cont_big_five_neuroticism_mean_pct,profile_cont_big_five_openness_to_experience_actions_pct,profile_cont_big_five_openness_to_experience_aesthetics_pct,profile_cont_big_five_openness_to_experience_fantasy_pct,profile_cont_big_five_openness_to_experience_feelings_pct,profile_cont_big_five_openness_to_experience_ideas_pct,profile_cont_big_five_openness_to_experience_values_pct,profile_cont_big_five_openness_to_experience_mean_pct,profile_cont_heuristic_shift_sensitivity_proxy,profile_cont_resilience_index,profile_cat__profile_cat_sex_Female,profile_cat__profile_cat_sex_Male,profile_cat__profile_cat_sex_Other
profile_0005,138.5625,152.6875,14.125,33.375,138.5625,0.728125,0.73125,0.83125,0.7250000000000001,0.68125,16,6.875,18.0,10.416,45.558,13.556,11.367,34.287,27.747,23.822,54.066,38.432,44.179,44.353,56.89,53.447,48.561,49.461,64.997,48.187,78.196,53.727,64.27,59.806,68.737,54.816,48.476,46.223,63.241,62.96,57.409,38.0,17.323,15.188,19.966,19.383,10.268,20.021,0.5619,0.4381,0.0,1.0,0.0
profile_0008,440.4375,492.125,51.6875,51.6875,440.4375,0.7058333333333333,0.69375,0.7937500000000001,0.8031250000000001,0.83125,16,-24.1875,24.0,10.523,7.56,5.881,18.998,11.22,12.18,11.06,70.736,59.659,68.239,65.583,69.987,78.531,68.789,80.373,90.592,92.195,97.157,83.135,85.216,88.111,64.053,70.957,73.373,73.944,74.0,78.767,72.516,53.351,70.855,71.901,72.956,53.244,63.766,64.346,0.535,0.465,0.0,1.0,0.0
profile_0009,70.5625,86.4375,15.875,25.75,70.5625,0.7091666666666666,0.70625,0.7937500000000001,0.725,0.6749999999999999,16,-14.5,38.0,91.357,74.017,77.232,80.546,79.109,78.532,80.132,24.668,47.948,31.222,24.905,23.069,21.536,28.891,26.485,2.689,26.19,30.027,19.877,6.011,18.546,63.382,63.07,57.658,55.806,51.349,47.598,56.477,2.417,11.791,0.0,4.319,4.813,10.917,5.71,0.6212,0.3788,0.0,0.0,1.0
profile_0011,307.1875,318.25,11.0625,35.8125,307.1875,0.7225,0.71875,0.81875,0.7937500000000001,0.76875,16,-3.5625,52.0,46.934,15.422,43.191,37.405,48.199,43.041,39.032,50.54,55.792,59.533,62.353,55.286,62.904,57.735,18.611,25.752,38.005,29.674,17.256,22.483,25.297,30.423,27.352,30.404,27.946,19.374,24.163,26.61,12.308,4.856,7.053,7.532,12.537,26.922,11.868,0.4085,0.5915,1.0,0.0,0.0
profile_0013,577.25,603.6875,26.4375,46.1875,577.25,0.7079166666666666,0.69375,0.7937500000000001,0.7875000000000001,0.78125,16,-27.6875,57.0,51.832,52.457,34.27,53.758,29.36,37.999,43.279,44.276,27.967,33.743,34.084,37.92,27.451,34.24,87.254,98.581,95.794,92.837,85.955,100.0,93.404,16.896,29.124,2.623,7.783,10.235,9.703,12.728,56.381,70.492,84.698,81.789,72.327,65.32,71.835,0.3448,0.6552,0.0,1.0,0.0
profile_0025,357.1875,388.6875,31.5,53.125,357.1875,0.7162499999999999,0.71875,0.80625,0.775,0.75625,16,-17.5,36.0,63.807,70.052,66.781,65.16,83.084,73.915,70.467,66.147,52.974,56.338,54.058,52.429,34.099,52.674,44.667,31.969,23.614,44.806,56.114,61.19,43.727,3.849,3.328,8.974,17.532,0.0,8.672,7.059,62.103,69.268,65.397,60.303,56.218,64.982,63.045,0.282,0.718,0.0,0.0,1.0
profile_0035,136.1875,154.9375,18.75,30.5,136.1875,0.7189583333333333,0.7062499999999999,0.80625,0.71875,0.725,16,-15.375,18.0,73.236,71.477,91.492,61.882,61.196,70.79,71.679,0.0,12.548,8.177,0.0,2.702,1.911,4.223,62.168,59.088,69.676,60.195,53.473,65.636,61.706,94.001,100.0,84.197,96.375,73.656,100.0,91.371,36.542,45.862,45.296,53.699,42.808,51.681,45.981,0.7996,0.2004,0.0,1.0,0.0
profile_0038,629.5625,659.8125,30.25,40.625,629.5625,0.7091666666666666,0.6875,0.7875,0.8187500000000001,0.84375,16,-12.125,42.0,51.874,22.235,37.049,53.786,38.986,45.137,41.511,70.583,69.424,87.133,95.405,82.859,93.391,83.133,100.0,95.343,100.0,99.64,76.745,96.348,94.679,82.027,88.932,97.143,72.449,74.839,90.843,84.372,91.608,76.738,79.847,73.566,84.801,92.587,83.191,0.5337,0.4663,0.0,0.0,1.0
profile_0039,390.5,421.375,30.875,42.75,390.5,0.7091666666666666,0.69375,0.7937500000000001,0.76875,0.7625,16,-19.625,34.0,93.511,100.0,92.805,100.0,100.0,87.3,95.603,47.882,60.02,47.96,62.145,54.393,39.529,51.988,61.373,72.938,85.816,61.713,77.722,71.449,71.835,62.758,71.368,69.461,61.099,51.949,71.374,64.668,36.238,20.666,35.229,34.609,30.607,37.637,32.498,0.5735,0.4265,0.0,1.0,0.0
profile_0042,126.125,163.125,37.0,37.0,126.125,0.721875,0.71875,0.8187500000000001,0.7625000000000001,0.725,16,-20.875,18.0,17.701,14.457,19.478,35.063,11.943,22.403,20.174,100.0,82.574,82.133,83.73,85.435,95.493,88.227,33.649,47.294,43.36,33.759,33.371,43.707,39.19,93.238,88.07,76.007,82.059,88.965,76.471,84.135,21.303,33.149,30.332,19.523,18.045,36.632,26.497,0.5765,0.4235,0.0,1.0,0.0
profile_0046,327.3125,356.125,28.8125,48.9375,327.3125,0.715,0.7124999999999999,0.8125,0.725,0.721875,16,-4.8125,48.0,60.965,44.216,61.746,45.45,66.357,41.255,53.331,59.977,48.032,47.023,56.229,47.412,38.3,49.495,31.112,24.146,39.854,15.295,43.039,28.769,30.369,48.654,64.638,57.211,57.169,66.27,56.743,58.447,47.286,43.558,38.865,63.819,44.626,55.291,48.908,0.5354,0.4646,0.0,1.0,0.0
profile_0048,486.8125,514.3125,27.5,42.375,486.8125,0.7247916666666666,0.71875,0.80625,0.765625,0.771875,16,-19.5,45.0,100.0,98.308,66.374,86.278,100.0,83.116,89.013,36.225,42.691,33.985,20.322,31.326,24.62,31.528,83.306,86.068,76.466,89.922,87.897,71.676,82.556,63.743,42.901,40.601,34.405,57.071,45.904,47.438,51.478,55.637,52.47,55.303,52.696,51.696,53.214,0.5264,0.4736,1.0,0.0,0.0
profile_0063,188.0625,204.4375,16.375,45.375,188.0625,0.6758333333333333,0.65625,0.74375,0.5750000000000001,0.55,16,-7.125,61.0,64.529,77.255,77.074,84.453,72.387,64.031,73.288,14.585,43.858,46.597,32.073,50.351,42.239,38.284,48.005,61.313,61.675,51.435,59.542,43.914,54.314,94.75,89.498,91.77,89.935,93.854,76.972,89.463,11.854,1.489,0.976,10.477,30.89,0.0,9.281,0.7426,0.2574,0.0,0.0,1.0
