term,moderator_label,ontology_group,weighted_mean_estimate,weighted_mean_abs_estimate,direction,n_tasks,normalized_weight_pct,estimate,mean_abs_estimate
profile_cat__profile_cat_sex_Other,Sex Other,Demographics: Sex,1.09523815950013,1.1889943684978248,higher_effectivity,16,5.220902265905567,1.09523815950013,1.1889943684978248
profile_cont_big_five_conscientiousness_achievement_striving_pct,Big Five Conscientiousness Achievement Striving %,Personality: Conscientiousness,-1.0127171084229047,1.0506977991328192,lower_effectivity,16,4.613638773752159,-1.0127171084229047,1.0506977991328192
profile_cont_big_five_extraversion_assertiveness_pct,Big Five Extraversion Assertiveness %,Personality: Extraversion,0.5536255383250481,1.028395438148874,higher_effectivity,16,4.515708581582089,0.5536255383250481,1.028395438148874
profile_cont_big_five_openness_to_experience_actions_pct,Big Five Openness To Experience Actions %,Personality: Openness,-0.5001841063407617,0.971812883944552,lower_effectivity,16,4.267253253884201,-0.5001841063407617,0.971812883944552
profile_cont_big_five_openness_to_experience_ideas_pct,Big Five Openness To Experience Ideas %,Personality: Openness,0.8607802764182252,0.9338178558927978,higher_effectivity,16,4.1004161911492725,0.8607802764182252,0.9338178558927978
profile_cont_big_five_conscientiousness_competence_pct,Big Five Conscientiousness Competence %,Personality: Conscientiousness,0.3644639404253699,0.8649199586416593,higher_effectivity,16,3.7978839021788424,0.3644639404253699,0.8649199586416593
profile_cont_big_five_agreeableness_compliance_pct,Big Five Agreeableness Compliance %,Personality: Agreeableness,-0.4972160972240675,0.8494086311532937,lower_effectivity,16,3.7297732979768017,-0.4972160972240675,0.8494086311532937
profile_cont_big_five_neuroticism_anger_hostility_pct,Big Five Neuroticism Anger Hostility %,Personality: Neuroticism,-0.5250028690633977,0.7898001858206256,lower_effectivity,16,3.4680312110923888,-0.5250028690633977,0.7898001858206256
profile_cat__profile_cat_sex_Male,Sex Male,Demographics: Sex,-0.5910381448702405,0.7767750891145958,lower_effectivity,16,3.4108377047917116,-0.5910381448702405,0.7767750891145958
profile_cont_big_five_agreeableness_trust_pct,Big Five Agreeableness Trust %,Personality: Agreeableness,0.1762417195089533,0.7735992994141025,higher_effectivity,16,3.3968927374456572,0.1762417195089533,0.7735992994141025
profile_cont_big_five_neuroticism_self_consciousness_pct,Big Five Neuroticism Self Consciousness %,Personality: Neuroticism,0.6899777609246476,0.7554394964853659,higher_effectivity,16,3.3171526152289106,0.6899777609246476,0.7554394964853659
profile_cont_big_five_conscientiousness_deliberation_pct,Big Five Conscientiousness Deliberation %,Personality: Conscientiousness,-0.0022075449478059,0.6918309527727355,lower_effectivity,16,3.0378460021792693,-0.0022075449478059,0.6918309527727355
profile_cont_big_five_openness_to_experience_fantasy_pct,Big Five Openness To Experience Fantasy %,Personality: Openness,-0.5895323526162823,0.65975848533151,lower_effectivity,16,2.8970150425266765,-0.5895323526162823,0.65975848533151
profile_cat__profile_cat_sex_Female,Sex Female,Demographics: Sex,-0.5042000146298763,0.6397225382679881,lower_effectivity,16,2.8090367272419163,-0.5042000146298763,0.6397225382679881
profile_cont_big_five_extraversion_activity_level_pct,Big Five Extraversion Activity Level %,Personality: Extraversion,-0.6042359912376076,0.6313378356190548,lower_effectivity,16,2.7722193004999665,-0.6042359912376076,0.6313378356190548
profile_cont_big_five_agreeableness_modesty_pct,Big Five Agreeableness Modesty %,Personality: Agreeableness,0.4450844585175103,0.6157449250369187,higher_effectivity,16,2.7037504630123763,0.4450844585175103,0.6157449250369187
profile_cont_big_five_neuroticism_depression_pct,Big Five Neuroticism Depression %,Personality: Neuroticism,0.5203862239613615,0.6087343492050726,higher_effectivity,16,2.672966859476869,0.5203862239613615,0.6087343492050726
profile_cont_chronological_age,Chronological Age,Other,-0.4290598048270709,0.60704629143129,lower_effectivity,16,2.6655545580483464,-0.4290598048270709,0.60704629143129
profile_cont_big_five_extraversion_excitement_seeking_pct,Big Five Extraversion Excitement Seeking %,Personality: Extraversion,-0.5593004969696843,0.6058839717497252,lower_effectivity,16,2.6604507849607963,-0.5593004969696843,0.6058839717497252
