term,estimate,std_error,p_value,conf_low,conf_high
Intercept,-15.70639782498478,1.5487376124932841,3.6180341918018135e-24,-18.741867766974167,-12.670927882995393
profile_cont_big_five_neuroticism_mean_pct_z,1.2729741114951099,1.132729890669757,0.26109328874070936,-0.9471356784296068,3.4930839014198263
profile_cont_big_five_openness_to_experience_mean_pct_z,0.5674141667167316,0.8399274022398924,0.49932548088980067,-1.0788132913017445,2.2136416247352075
profile_cont_big_five_conscientiousness_mean_pct_z,-3.2582785377256656,1.1412407475313444,0.004303253038727685,-5.495069300576669,-1.0214877748746618
profile_cont_big_five_extraversion_mean_pct_z,-2.3526120780575632,1.5545452268980597,0.13018407306740823,-5.399464735116407,0.6942405790012804
profile_cont_big_five_agreeableness_mean_pct_z,-0.4216318612214538,0.808572361759808,0.6020517749130441,-2.006404569165169,1.1631408467222615
profile_cat__profile_cat_sex_Female,2.0171613549170453,2.239252304930985,0.3676844846518109,-2.371692515045988,6.406015224880079
profile_cat__profile_cat_sex_Other,2.3946937827041936,2.60126312422979,0.3572651348171818,-2.7036882550983345,7.493075820506721
mean_baseline_abs_score_z,0.10101030172054637,2.2653819549570313,0.9644351971755474,-4.3390567412221746,4.541077344663266
mean_exposure_quality_score_z,0.2836572680622068,0.9945892955554201,0.7754906115121631,-1.6657019306354797,2.2330164667598935
