Outcome leaf,Moderator,SEM b,SE,p
Adversarial Delta Indicator Alliance Commitment Support,Big Five Neuroticism Mean %,-0.41669489082667327,2.2913941102007205,0.8556987757150465
Adversarial Delta Indicator Alliance Commitment Support,Big Five Openness To Experience Mean %,2.954241815573275,2.200739268919239,0.17947083762510707
Adversarial Delta Indicator Alliance Commitment Support,Big Five Conscientiousness Mean %,-6.758167350991067,2.4484653820140396,0.005777225433408972
Adversarial Delta Indicator Alliance Commitment Support,Sex Female,4.4569016873664555,5.3004400610450375,0.4004291538742586
Adversarial Delta Indicator Alliance Commitment Support,Sex Other,-1.0421682524245992,5.543210633716501,0.8508703364192556
Adversarial Delta Indicator Alliance Commitment Support,Mean Baseline Abs Score,-1.1156048333763988,2.8314624654834404,0.6935787910775777
Adversarial Delta Indicator Alliance Commitment Support,Mean Exposure Quality Score,-2.3177841224634164,2.2521246029141557,0.3034070892220828
Adversarial Delta Indicator Civil Defense Preparedness Support,Big Five Neuroticism Mean %,1.523896831052293,1.712907740812122,0.37365119687789194
Adversarial Delta Indicator Civil Defense Preparedness Support,Big Five Openness To Experience Mean %,-0.5887923789105335,1.6451396608114535,0.7204195635235011
Adversarial Delta Indicator Civil Defense Preparedness Support,Big Five Conscientiousness Mean %,-4.540709831315011,1.8303247299500884,0.013107981722871642
Adversarial Delta Indicator Civil Defense Preparedness Support,Sex Female,-6.6162480098707395,3.9622886215236948,0.09495801784418645
Adversarial Delta Indicator Civil Defense Preparedness Support,Sex Other,-6.348196543201445,4.143769228163604,0.12552588369453366
Adversarial Delta Indicator Civil Defense Preparedness Support,Mean Baseline Abs Score,-1.2021205260305012,2.1166302005204636,0.5700752062264189
Adversarial Delta Indicator Civil Defense Preparedness Support,Mean Exposure Quality Score,-1.285048524443189,1.6835522306842108,0.44528694339429586
Adversarial Delta Indicator Domestic Security Powers Expansion Support,Big Five Neuroticism Mean %,0.26790831697408074,1.1697843288708705,0.818850507803426
Adversarial Delta Indicator Domestic Security Powers Expansion Support,Big Five Openness To Experience Mean %,-0.5677491162861986,1.1235039390438828,0.613321530590706
Adversarial Delta Indicator Domestic Security Powers Expansion Support,Big Five Conscientiousness Mean %,0.2560378333922838,1.249971107507105,0.8377010397115121
Adversarial Delta Indicator Domestic Security Powers Expansion Support,Sex Female,2.5951420933846636,2.705938577710104,0.3375313790092238
Adversarial Delta Indicator Domestic Security Powers Expansion Support,Sex Other,4.256874971343349,2.8298758830203656,0.13251389970470817
Adversarial Delta Indicator Domestic Security Powers Expansion Support,Mean Baseline Abs Score,-6.527686541145426,1.445495737797138,6.3054108134785736e-06
Adversarial Delta Indicator Domestic Security Powers Expansion Support,Mean Exposure Quality Score,0.3821941851755076,1.1497367717868212,0.7395730004548597
Adversarial Delta Indicator Strategic Autonomy Support,Big Five Neuroticism Mean %,0.5185920223120358,1.883882699747414,0.78310243667731
Adversarial Delta Indicator Strategic Autonomy Support,Big Five Openness To Experience Mean %,1.8000032283013272,1.8093503063986454,0.31981700008878367
Adversarial Delta Indicator Strategic Autonomy Support,Big Five Conscientiousness Mean %,1.1614799043626898,2.013019739193899,0.5639503569741489
Adversarial Delta Indicator Strategic Autonomy Support,Sex Female,5.1622220958935285,4.3577869418439645,0.23617675494774648
Adversarial Delta Indicator Strategic Autonomy Support,Sex Other,8.11906584276438,4.557382148896094,0.07482759798113614
Adversarial Delta Indicator Strategic Autonomy Support,Mean Baseline Abs Score,0.20371142390004107,2.3279029696210367,0.930267286006419
Adversarial Delta Indicator Strategic Autonomy Support,Mean Exposure Quality Score,4.79970308735059,1.8515970509908652,0.009536533025045868
